ref	verse
EXO 36:24	លោកបេតសេលាលបានធ្វើជើងទ្រពីប្រាក់ចំនួនសែសិប ដើម្បីទ្រស៊ុមទាំងម្ភៃ។ មានជើងទ្រពីរនៅក្រោមស៊ុមនីមួយៗ ដើម្បីភ្ជាប់ស៊ុមជាមួយគ្នា ហើយជើងទ្រពីរទៀតសម្រាប់ស៊ុមផ្សេងៗទៀត ដើម្បីភ្ជាប់ស៊ុមជាមួយគ្នា។
EXO 36:25	ដ្បិត នៅផ្នែកទីពីររបស់ព្រះពន្លា គឺនៅផ្នែកខាងជើង គាត់បានធ្វើស៊ុមម្ភៃដែរ ហើយមានជើងទ្រស៊ុមនោះចំនួនសែសិបធ្វើពីប្រាក់។
EXO 36:26	មានជើងទ្រពីនៅក្រោមស៊ុមទីមួយ ជើងទ្រពីរនៅក្រោមស៊ុមបន្ទាប់ និងស៊ុមជាបន្តបន្ទាប់ទៀត។
EXO 36:27	នៅផ្នែកខាងក្រោយព្រះពន្លាគឺប៉ែកខាងលិច លោកបេតសេលាលបានធ្វើស៊ុមប្រាំមួយ។
EXO 36:28	គាត់បានធ្វើស៊ុមពីសម្រាប់ជ្រុងខាងក្រៅរបស់ព្រះពន្លា។
EXO 36:29	ស៊ុមទាំងនេះ បែកចេញពីគ្នានៅប៉ែកខាងក្រោម ប៉ុន្តែ ជាប់គ្នានៅប៉ែកខាងលើដោយសាកងមួយ។ គាត់បានធ្វើបែបនេះសម្រាប់ជ្រុងទាំងពីរ។
EXO 36:3	ពួកគេបានទទួលតង្វាយគ្រប់យ៉ាងពីលោកម៉ូសេ ដែលជនជាតិអ៊ីស្រាអែលបាននាំមកសម្រាប់ការសាងសង់ទីបរិសុទ្ធ។ ប្រជាជនបាននាំយកតង្វាយស្ម័គ្រចិត្តរៀងរាល់ព្រឹកមកលោកម៉ូសេ។
EXO 36:30	មានស៊ុមចំនួនប្រាប់បី រួមជាមួយជើងទ្រប្រាក់ផង។ មានជើងត្រទាំងអស់ដប់ប្រាំមួយ រូមទាំងជើងទ្រប្រាក់ផងដែរ។ មានជើងទ្រពីនៅក្រោមស៊ុមនីមួយៗ ជើងទ្រពីនៅក្រោមស៊ុមបន្ទាប់ និងបន្តបន្ទាប់ទៀត។
EXO 36:31	លោកបេតសាលាលបានធ្វើរនុកពីឈើនាងនួន ប្រាំសម្រាប់ស៊ុមនៅមួយផ្នែកនៃព្រះពន្លា
EXO 36:32	រនុកប្រាំទៀត សម្រាប់ស៊ុមនៃផ្នែកមួយទៀតរបស់ព្រះពន្លា ហើយរនុកប្រាំសម្រាប់ស៊ុម ដែលនៅប៉ែកខាកក្រោយនៃព្រះពន្លា គឺភាគខាងលិច។
EXO 36:33	គាត់បានធ្វើរនុកនៅចំកណ្តាលស៊ុម ដែលពាក់កណ្តាលឡើងឈើ គឺចាប់ពីចុងម្ខាងទៅចុងម្ខាងទៀត។ គាត់បានស្រោបស៊ុមនៅជាមួយនឹងមាស។
EXO 36:34	គាត់បានធ្វើកងពីមាសដែរ គឺសម្រាប់ស៊ករនុក ហើយគាត់បានស្រោបរនុកនោះជាមួយនឹងមាសដែរ។
EXO 36:35	លោកបេតសាលាលបានធ្វើវាំងននពីក្រណាត់ពណ៌ខៀវ ពណ៌ស្វាយ និងពណ៌ក្រហម ព្រមទាំងជាមួយនឹងក្រណាត់ទាសឯកយ៉ាងស្អាត ដោយមានរចនារូបចេរូប៊ីមផង កិច្ចការទាំងនេះ ធ្វើឡើងពីជាងដែលមានស្នាដៃល្អ។
EXO 36:36	គាត់បានធ្វើរនាំង ដែលមានសសរបួនពីឈើនាងនួន ហើយគាត់បានស្រោមសសរទាំងនោះជាមួយនឹងមាស។ គាត់បានធ្វើតម្ពក់សម្រាប់សសរ ហើយគាត់បានធ្វើជើងទ្របួនពីប្រាក់ដែរ។
EXO 36:37	គាត់បានធ្វើរនាំងសម្រាប់ច្រកចូលត្រសាល។ ដែលមានពណ៌ខៀវ ពណ៌ស្វាយ និងពណ៌ក្រហម ដោយប្រើក្រណាត់ទាសឯកយ៉ាងល្អ ព្រមទាំងប៉ាក់ផងដែរ។
EXO 36:38	គាត់បានធ្វើរនាំងសសរប្រាំ ជាមួយនឹងតម្ពក់។ គាត់បានស្រោបនៅលើក្បាលរបស់វា និងគន្លឹះពីមាស។ ជើងទ្រទាំងប្រាំរបស់វាធ្វើពីលង្ហិន។
EXO 36:4	ដូច្នេះ បុរសដែលមានជំនាញទាំងអស់បានធ្វើការនៅទីបរិសុទ្ធមកពីកិច្ចការដែលពួកគេធ្លាប់បានធ្វើ។
EXO 36:5	ពួកអ្នកសិប្បករបានប្រាប់លោកម៉ូសេថា៖ «ប្រជាជនបាននាំរបស់របរច្រើនលើសពីសេចក្តីត្រូវទៅទៀត សម្រាប់ធ្វើកិច្ចការដែលព្រះអម្ចាស់បានបង្គាប់ឲ្យយើងធ្វើ»។
EXO 36:6	ដូច្នេះ លោកម៉ូសេបានបង្គាប់ថា គ្មាននរណានៅក្នុងជំរំនាំយកតង្វាយមកថ្វាយដើម្បីសាងសង់ទីបរិសុទ្ធទៀតទេ។ ប្រជាជនឈប់យកអំណោយមកជូនទៀត។
EXO 36:7	ពួកគេមានសម្ភារគ្រប់គ្រាន់សម្រាប់ការងារទាំងអស់ហើយ។
EXO 36:8	ដូច្នេះ ពួកសិប្បករនៅក្នុងចំណោមពួកគេបានសាងសង់ព្រះពន្លា ជាមួយនឹងវាំងនន ដប់ធ្វើឡើងពីក្រណាត់ទេសឯកល្អ និងពណ៌ខៀវ ពណ៌ស្វាយ និងពណ៌ក្រហម ជាមួយនឹងប៉ាក់រូបចេរូប៊ីន។ ការងារសិប្បកម្មនេះ គឺជាកិច្ចការរបស់លោកបេតសា‌លាល ជាមនុស្សដែលមានជំនាញជាសិប្បករ។
EXO 36:9	ប្រវែងវាំងនននីមួយៗមានបណ្តោយម្ភៃប្រាំបីហត្ថ ទទឹកបួនហត្ថ។ វាំងននទាំងអស់មានទំហំស្មើគ្នា។
EXO 37:1	លោកបេតសាលាលធ្វើហិបពីឈើនាងនួន ដែលមានបណ្តោយពីហត្ថកន្លះ និងទទឹងមួយហត្ថកន្លះ ព្រមទាំងកម្ពស់មួយហត្ថកន្លះដែរ។
EXO 37:10	លោកបេតសាលាលធ្វើតុពីឈើនាងនួន ដែលមានបណ្តោយពីហត្ថ និងទទឹងមួយហត្ថ ព្រមទាំងកម្ពស់មួយហត្ថកន្លះផង។
EXO 37:11	គាត់បានស្រោបវាដោយមាសសុទ្ធ ហើយបានធ្វើគែមព័ទ្ធជុំវិញ។
EXO 37:12	គាត់បានធ្វើស៊ុមព័ទ្ធជុំវិញ ដែលមានកម្ពស់មួយទះ ហើយធ្វើស៊ុមពីមាសព័ទ្ធជុំវិញដែរ។
EXO 37:13	គាត់បានសិតកងបួនពីមាស ហើយភ្ជាប់កងនោះទៅនឹងជ្រុងទាំងបួន គឺនៅនឹងជើងរបស់វា។
EXO 37:14	កងនោះបានភ្ជាប់ទៅនឹងស៊ុមដើម្បីផ្តល់ជាកន្លែងសម្រាប់ស៊កឈើស្នែង ដើម្បីសែងតុនោះ។
EXO 37:15	គាត់បានធ្វើឈើស្នែងបួនពីឈើនាងនួន ហើយស្រោបវាដោយមាស ដើម្បីសែងតុនោះ។
EXO 37:16	គាត់បានធ្វើគ្រឿងបរិក្ខារដែលដាក់នៅលើតុនោះ មានដូចជា ចាន ស្លាបព្រា និង​ចាន‌គោម សម្រាប់​ប្រើ​ក្នុង​ពិធីថ្វាយតង្វាយ។​ គាត់ធ្វើរបស់ទាំងអស់នោះពីមាសសុទ្ធ។
EXO 37:17	គាត់បានឆ្លាក់ធ្វើជើងចង្កៀងមួយពីមាសសុទ្ធ។ គាត់ធ្វើជើងចង្កៀងនោះជាមួយនឹងជើងទ្រ ព្រមទាំងដងផង។ មានពែង មែកនិងជើងទ្ររបស់វា ហើយផ្ការបស់វាត្រូវបានធ្វើឡើងតែមួយដុំ។
EXO 37:18	មានមែកប្រាំមួយបែកចេញពីសងខាង ហើយម្ខាងនៃជើងចង្កៀងមានមែកបី ហើយម្ខាងទៀតមានមែកបីដែរ។
EXO 37:19	មែកទីមួយមានពែងបី ធ្វើជារាងដូចជាផ្កាចំបក់ ដែលមានស្រទាប់ទ្រ និងផ្កាមួយ ហើយពែងបីទៀតក៏មានរាងដូចផ្លែចំបក់ដែលនៅមែកម្ខាងទៀត ដែលមានស្រទាប់ និងផ្កាមួយ។ មែកទាំងប្រាំមួយមានរាងដូចគ្នា បែកមែកចេញពីជើងចង្កៀង។
EXO 37:2	គាត់បានស្រោបវាដោយមាសសុទ្ធទាំងខាងក្រៅ និងខាងក្នុង ហើយក៏ធ្វើគែមមាសជុំវិញដែរ។
EXO 37:20	នៅលើជើងចង្កៀងនោះ ផ្នែកកណ្តាល មានពែងបួនធ្វើរាងដូចជាផ្លែចំបក់ មានស្លឹកទ្រ ហើយនិងផ្កាផង។
EXO 37:21	មានក្រោមជើងទ្រស្លឹក គូដំបូងរបស់មែក ធ្វើឡើងជាមួយដុំ ហើយជើងទ្រស្លឹក គូទីពីររបស់មែងក៏ធ្វើឡើងជាមួយដុំដែរ។ ហើយជើងទ្រស្លឹកផ្សេងៗទៀតដែលនៅក្រោមជើងទ្រស្លឹក គូទីបី ក៏ធ្វើឡើងជាមួយដុំដែរ។ មែងទាំងប្រាំមួយធ្វើរាងដូចៗគ្នាទាំងអស់ មានមែកបែកចេញពីជើងចង្កៀង។
EXO 37:22	ជើងទ្រ និងមែករបស់វាទាំងអស់ ធ្វើឡើងតែមួយដុំ គឺធ្វើពីមាសសុទ្ធមួយដុំគត់។
EXO 37:23	លោកបេតសាលាលធ្វើជើងចង្កៀង និងចង្កៀងទាំងប្រាំពីរ និងប្រឆេះ និងថាសពីមាសសុទ្ធ។
EXO 37:24	គាត់ធ្វើចង្កៀង ហើយនិងសម្ភាររបស់វា សម្រាប់គោះកម្ទេចពីមាសសុទ្ធដែរ។
EXO 37:25	លោកបេតសាលាលធ្វើកន្លែងថ្វាយគ្រឿងក្រអូប។ គាត់បានធ្វើវាពីឈើងនាងនួន។ បណ្តោយរបស់វាមានប្រវែងមួយហត្ថ និងទទឹងរបស់វាមានប្រវែងមួយហត្ថដែរ។ វាមានរាងបួនជ្រុង ហើយកម្ពស់របស់វាមានប្រវែងពីរហត្ថ។ ហើយស្នែងរបស់វាត្រូវបានធ្វើឡើងភ្ជាប់ជាបំណែកតែមួយ។
EXO 37:26	គាត់បានស្រោបកន្លែងថ្វាយគ្រឿងក្រអូបនោះជាមួយនឹងមាសសុទ្ធ នៅពីលើ ពីចំហៀង និងនៅលើស្នែងរបស់វា។ គាត់ក៏បានស្រោបមាសនៅតាមគែមរបស់វាពីមាសដែរ។
EXO 37:27	គាត់បានធ្វើកងពីមាសពីរ ដើម្បីភ្ជាប់វានៅក្រោមគែមទាំងសងខាងរបស់វា។ កងនោះសម្រាប់ស៊កឈើស្នែងដើម្បីសែងកន្លែងថ្វាយយញ្ញបូជា។
EXO 37:28	គាត់បានធ្វើឈើស្នែងពីឈើនាងនួន ហើយគាត់បានស្រោបវាជាមួយនឹងមាស។
EXO 37:29	គាត់បានធ្វើប្រេងចាក់ប្រេងតាំងបរិសុទ្ធ និងគ្រឿងក្រអូបបរិសុទ្ធ គឺជាកិច្ចការរបស់អ្នកធ្វើទឹកអប់។
EXO 37:3	គាត់បានសិតធ្វើកងមាសសម្រាប់ជើងវាទាំងបួន ជាមួយនឹងកងម្ខាងពីរ ហើយកងម្ខាងទៀតពីរទៀតដែរ។
EXO 37:4	គាត់បានធ្វើឈើស្នែងពីឈើនាងនួន ហើយស្រោបវាជាមួយនឹងមាស។
EXO 37:5	គាត់ដាក់ឈើស្នែងទៅក្នុងកងនៅចំហៀងហិតដើម្បីសែងហិប។
EXO 37:6	គាត់បានធ្វេីទីសន្តោសប្រោសពីមាសសុទ្ធ។ ដែលមានបណ្តោយពីរហត្ថកន្លះ និងទទឹងមួយហត្ថកន្លះ។
EXO 37:7	លោកបេតសាលាលបានធ្វើចេរូប៊ីមពីរ ឆ្លាក់ធ្វើពីមាសសម្រាប់ចុងសងខាងនៃទីសន្តោសប្រោស។
EXO 37:8	រូបចេរូប៊ីមមួយសម្រាប់ចុងទីសន្តោសប្រោសម្ខាង ហើយចេរូប៊ីមមួយទៀតសម្រាប់នៅខាងចុងទីសន្តោសប្រោសម្ខាងទៀត។ ពួកគេបានភ្ជាប់វាមកតែមួយចំណែកនៅលើទីសន្តោសប្រោស។
EXO 37:9	រូបចេរូប៊ីមត្រដាសស្លាបរបស់ពួកគេទល់មុខគ្នា ហើយគ្រប់ពីលើទីសន្តោសប្រោសជាមួយនឹងស្រមោលពីលើហិប។ មុខរបស់ចេរូប៊ីមទល់មុខគ្នា ហើយបានសម្លឹងមើលទៅចំកណ្តាលទីសន្តោសប្រោស។
EXO 38:1	លោកបេតសាលាលបានធ្វើកន្លែងថ្វាយតង្វាយដុតពីឈើនាងនួន។ វាមានប្រវែងប្រាំហត្ថ ហើយទទឹងប្រាំហត្ថដែរ មានរាងបួនជ្រុង ហើយមានកម្ពស់បីហត្ថ។
EXO 38:10	ហើយរនាំនោះមានសសរម្ភៃជាមួយនឹងជើងទ្រលង្ហិន។ មានតម្ពក់ភ្ជាប់សសរ និងគន្លឹះធ្វើពីប្រាក់។
EXO 38:11	នៅប៉ែកខាងជើងក៏ដូចគ្នាដែរ មានរនាំងប្រវែងមួយរយហត្ថ ជាមួយនឹងសសរម្ភៃ និងជើងទ្រលង្ហិនម្ភៃដែរ តម្ពក់ភ្ជាប់សសរ និងកន្លឹះធ្វើពីប្រាក់។
EXO 38:12	រនាំងនៅប៉ែកខាងលិចមានប្រវែងហាសិបហត្ថ និងមានសសរ និងជើងទ្រដប់។ ទម្ពក់ និងគន្លឹះសសរធ្វើពីប្រាក់។
EXO 38:13	នៅក្នុងទីលាននៅប៉ែកខាងកើតក៏មានហាសិបហត្ថដូចគ្នាដែរ។
EXO 38:14	រនាំងមួយចំហៀងនៃច្រកចូលមានប្រវែងដប់ប្រាំហត្ថ។ មានសសរបី និងជើងទ្របី។
EXO 38:15	នៅប៉ែកម្ខាងទៀតនៃច្រកចូលទីលានក៏មានរនាំងប្រវែងដប់ប្រាំហត្ថដែរ ជាមួយនឹងសសរបី និងជើងទ្របី។
EXO 38:16	រនាំងទាំងអស់នៅជុំវិញទីលានត្រូវបានធ្វើឡើងពីក្រណាត់ទេសឯកយ៉ាងស្អាត។
EXO 38:17	ជើងទ្រសម្រាប់សសរធ្វើពីលង្ហិន។ តម្ពក់ និងគន្លឹះធ្វើឡើងពីប្រាក់ ហើយស្រោបពីលើសសរនោះក៏ធ្វើពីប្រាក់ដែរ។ សសរទីលានទាំងអស់ត្រូវបានស្រោបឡើងដោយប្រាក់ដែរ។
EXO 38:18	វាំងនននៅច្រកចូលទីលានមានប្រវែងម្ភៃហត្ថ។ វាំងននត្រូវបានធ្វើឡើងដោយក្រណាត់ពណ៌ខៀវ ពណ៌ស្វាយ និងពណ៌ក្រហមវេញជាមួយនឹងអំបោះខ្លូតទេស ហើយមានប្រវែងម្ភៃហត្ថ។
EXO 38:19	មានទទឹងម្ភៃហត្ថ និងកម្ពស់ប្រាំហត្ថ ដូចវាំងនននៅទីលានដែរ។ មានជើងទ្រពីលង្ហិន ហើយតម្ពក់ពីប្រាក់។ គម្របពីលើ និងតម្ពក់របស់វាធ្វើពីប្រាក់។
EXO 38:2	គាត់ធ្វើស្នែងបួននៅជាប់នឹងជ្រុងទាំងបួនមានរាងដូចជាស្នែងគោ។ ស្នែងត្រូវបានធ្វើឡើងជាប់ជាមួយនឹងកន្លែងថ្វាយតង្វាយ ហើយគាត់បានស្រោបវាជាមួយនឹងលង្ហិន។
EXO 38:20	ចម្រឹងសម្រាប់ព្រះពន្លា និងទីលានទាំងអស់ធ្វើពីលង្ហិន។
EXO 38:21	នេះគឺជាបញ្ជីសារពើភ័ណ្ឌរបស់ព្រះពន្លា និងច្បាប់របស់ព្រះពន្លានៃសម្ពន្ធមេត្រី យោងទៅតាមសេចក្តីណែនាំរបស់លោកម៉ូសេ។ វាគឺជាកិច្ចការរបស់ពួកលេវីនៅក្រោមការដឹកនាំរបស់លោកអ៊ីថា‌ម៉ា ជា​កូន​របស់​លោក​បូជា‌ចារ្យ​អើរ៉ុន។
EXO 38:22	លោក​បេតសា‌លាល​ គឺជា​កូន​របស់​លោក​យូរី ត្រូវ​ជា​ចៅរបស់​លោក​ហ៊ើរ មកពី​កុល‌សម្ព័ន្ធ​យូដា បាន​ធ្វើតាមអ្វីៗ​ដែល​ព្រះ‌អម្ចាស់​បង្គាប់​មក​លោក​ម៉ូសេ។
EXO 38:23	លោក​អូហូ‌លីអាប់ ជា​កូន​លោក​អហ៊ី‌សាម៉ាក់ មកពីកុល‌សម្ព័ន្ធ​ដាន់ ក៏​បាន​ជួយ​ធ្វើ​ការ​លោកបេតសាលាល ជាជាងចម្លាក់ គឺជាជាងដែលមានជំនាញ និងអ្នក​ប៉ាក់​លំអ​ក្រណាត់​ពណ៌​ស្វាយ ពណ៌​ក្រហម ពណ៌​ក្រហម​ទុំ និង​ក្រណាត់​ធ្វើ​ពីក្រណាត់ទេសឯកយ៉ាងស្អាត។
EXO 38:24	មាសទាំងអស់ដែលប្រើសម្រាប់គម្រោង នៅគ្រប់ទាំងកិច្ចការដែលពាក់ពាន់នឹងទីបរិសុទ្ធ មាសដែលបានមកពីតង្វាយគ្រវី មានចំនួន ម្ភៃប្រាំបួនហាប និង៧៣០ សេកែល តាម​ទម្ងន់​សេកែល​ដែល​ប្រើ​ក្នុង​ទី​បរិសុទ្ធ។
EXO 38:25	ចំណែក ប្រាក់ដែលបានទទួលពីសហគមន៍មានទម្ងន់មួយរយហាប និង១៧៧៥សេកែលតាម​ទម្ងន់​សេកែល​ដែល​ប្រើ​ក្នុង​ទី​បរិសុទ្ធ។
EXO 38:26	ឬម្នាក់បង់ប្រាំកាក់ ស្មើនឹងកន្លះសេគែល តាម​ទម្ងន់​សេកែល​ដែល​ប្រើ​ក្នុង​ទី​បរិសុទ្ធ។ តួលេខនេះបានទទួលពីប្រជាជនគ្រប់រូបដែលបានធ្វើជំរឿន ចាប់តាំងពីអាយុម្ភៃឆ្នាំ និងឡើងទៅមានចំនួនទាំងអស់ ៦០៣, ៥៥០នាក់។
EXO 38:27	ប្រាក់ចំនួនមួយរយហាបត្រូវបានសិតធ្វើជាទីបរិសុទ្ធ ហើយនិងជើងទ្រវាំងនន ជើងទ្រមួយរយ ប្រាក់មួយហាបសម្រាប់ជើងទ្រមួយ។
EXO 38:28	​ប្រាក់នៅសល់មានចំនួន ១, ៧៧៥ សេកែល ​លោកបេតសេលាល ធ្វើ​តម្ពក់សម្រាប់សសរ ស្រោបពីលើសសរ ហើយធ្វើ​គន្លឹះ​ទាំង​ប៉ុន្មាន​សម្រាប់​សសរដែរ។
EXO 38:29	ចំណែក លង្ហិនដែលបានមកពីការថ្វាយតង្វាយគ្រវីមានទម្ងន់ចិតសិបហាប និង២, ៤០០សេគែល។
EXO 38:3	គាត់ធ្វើគ្រឿងបរិក្ខារសម្រាប់កន្លែងថ្វាយតង្វាយមានដូចជា ឆ្នាំសម្រាប់កើបផេះ ប៉ែល អាងទឹក​ ផើង សម និង​ជើង‌ក្រាន។ គាត់បានធ្វើគ្រឿងបរិក្ខាទាំងអស់នេះពី​លង្ហិន​។
EXO 38:30	ជាមួយនឹងលង្ហិននេះ គាត់បានថ្វើជើងទ្រសម្រាប់ច្រកចូលទៅក្នុងត្រសាលប្រជុំ កន្លែងថ្វាយតង្វាយពីលង្ហិន និងគ្រឿងបរិក្ខារសម្រាប់កន្លែងថ្វាយតង្វាយ
EXO 38:31	ជើងទ្រសម្រាប់ទីលាន ជើងទ្រសម្រាប់ទីលានច្រកចូល ចម្រឹងរបស់ព្រះពន្លា និងចម្រឹងរបស់ទីលានទាំងអស់។
EXO 38:4	គាត់បានធ្វើប្រទាសសម្រាប់កន្លែងថ្វាយតង្វាយ ខ្ទាស់ក្រឡាគ្នាពីលង្ហិន ដើម្បីដាក់នៅក្រោមគែម នៅចំកណ្តាលនៃកន្លែងថ្វាយតង្វាយ។
EXO 38:5	គាត់បានសិតធ្វើកងបួន ដាក់នៅតាមជ្រុងទាំងបួននៃប្រទាសលង្ហិន ដើម្បីស៊កឈើស្នែង។
EXO 38:6	លោកបេតសាលាលបានធ្វើឈើស្នែងពីឈើនាងនួន ហើយស្រោបវាជាមួយនឹងលង្ហិន។
EXO 38:7	គាត់បានដាក់ឈើស្នែងនៅសងខាងនៃកន្លែងថ្វាយតង្វាយ ដើម្បីសែងវា។ គាត់បានធ្វើកន្លែងតង្វាយពីក្តារដែលមានប្រហោងកណ្តាល។
EXO 38:8	លោកបេតសាលាលធ្វេីអាងទឹកធំមួយពីលង្ហិន កំណល់ពីលង្ហិន។ គាត់បានធ្វើអាងទឹកចេញពីកញ្ចក់ដែលជាកម្មសិទ្ធិរបស់ស្រីៗដែលបម្រើនៅត្រង់ច្រកចូលត្រសាលនៃការជួបជុំ។
EXO 38:9	គាត់ក៏បានធ្វើទីលាន។ ដែលមានរនាំងព័ទ្ធជុំវិញពីភាគខាងត្បូងនៃទីលានដែលធ្វើពីក្រណាត់ទេសឯកយ៉ាងល្អ ប្រវែងមួយរយហត្ថ។
EXO 39:1	ជាមួយក្រណាត់ពណ៌ខៀវ ពណ៌ស្វាយ ពណ៌ក្រហម គេធ្វើសម្លៀកបំពាក់ដោយត្បាយយ៉ាងស្អាត សម្រាប់បម្រើនៅក្នុងទីបរិសុទ្ធ។ ពួកគេបានធ្វើសម្លៀកបំពាក់ឲ្យលោកអ៊ើរ៉ុន សម្រាប់ទីបរិសុទ្ធ ដូចដែលព្រះអម្ចាស់បានបង្គាប់ដល់លោកម៉ូសេ។
EXO 39:10	ពួកគេបានដាំត្បូងបួនជួរ។ ជួរទីមួយមានត្បូង​ទទឹម​មួយ​គ្រាប់ ត្បូង​ប៊ុត‌លឿង​មួយ​គ្រាប់ និង​ត្បូង​មរកត​មួយ​គ្រាប់។
EXO 39:11	ជួរទីពីរមានត្បូង​ទទឹម​មួយ​គ្រាប់ ត្បូង​កណ្ដៀង​មួយ​គ្រាប់ និង​ត្បូង​ពេជ្រ​មួយ​គ្រាប់។
EXO 39:12	ជួរទីបីមានត្បូង​ទទឹម​មួយ​គ្រាប់ ត្បូង​និល‌រ័ត្ន​មួយ​គ្រាប់ និង​ត្បូង​ជម្ពូ‌រ័ត្ន​មួយ​គ្រាប់។​
EXO 39:13	ជួរ​ទី​បួនមាន ត្បូង​ដៃ‌រគៀម​មួយ​គ្រាប់ ត្បូង​កែវ‌យក់​មួយ​គ្រាប់ និង​ត្បូង​មណី‌ជោតិរស​មួយ​គ្រាប់។ ត្បូងទាំងនេះត្រូវបានដាំនៅក្នុងគ្រោងមាស។
EXO 39:14	ត្បូងទាំងនោះត្រូវបានរៀបតាមលំដាប់ឈ្មោះរបស់កូនចៅអ៊ីស្រាអែល។ ពួកគេធ្វើដូចជាឆ្លាក់ត្រា គឺចាឈ្មោះកុលសម្ព័ន្ធទាំងដប់ពីរនៅលើត្បូងនោះ។
EXO 39:15	នៅលើអាវសម្រាប់ពាក់លើដើមទ្រូង ពួកគេធ្វើខ្សែដូចខែពួរវេញចូលគ្នាពីមាសសុទ្ធ។
EXO 39:16	ពួកគេធ្វើក្រចាប់មាសពីរ និងកងមាសពីរ ហើយពួកគេភ្ជាប់កងទាំងពីរនោះទៅនឹងជ្រុងទាំងពីររបស់ប្រដាប់ពាក់ដើមទ្រូង។
EXO 39:17	ពួកគេបានវេញខ្សែមាសទាំងពីរទៅនឹងកងមាសទាំងពីរ នៅជ្រុងនៃអាវសម្រាប់ពាក់លើដើមទ្រូង។
EXO 39:18	ពួកគេភ្ជាប់ចុងទាំងពីរនៃខ្សែដែលវេញនោះទៅនឹងក្រចាប់ទាំងពីរនោះ។ ពួកគេភ្ជាប់វាទៅនឹងគ្រោងមាសនៃខ្សែស្មារបស់អាវអេផូដខាងមុខ។
EXO 39:19	ពួកគេធ្វើកងពីមាសពីរ ហើយដាក់កងនោះនៅលើជ្រុងទាំងទៀតរបស់អាវសម្រាប់ពាក់លើដើមទ្រូង គឺនៅលើគែមជិតទៅនឹងព្រំខាងក្នុង។
EXO 39:2	បេតសាលាលបានធ្វើអាវអេផូដពីមាស ពីក្រណាត់ពណ៌ខៀវ ពណ៌ស្វាយ និងពណ៌ក្រហម និងក្រណាត់ទេសឯកត្បាយយ៉ាងល្អ។
EXO 39:20	ពួកគេបានធ្វើកងមាសពីរទៀត ហើយបានភ្ជាប់កងនោះទៅនឹងមុមរបស់ស្មាទីពីរនៃអាវអេផូដដែលនៅខាងមុខ។ ដេរភ្ជាប់វាទៅនឹងខ្សែក្រវាត់របស់អាវអេផូដ។
EXO 39:21	ពួកគេចងប្រដាប់ពាក់លើដើមទ្រូងដោយចងខ្សែរបស់វាទៅនឹងក្រវិលរបស់អាវអេផូដជាមួយនឹងខ្សែពណ៌ខៀវ ដើម្បីឲ្យវាអាចភ្ជាប់ជាមួយខ្សែក្រវាតខាងលើ​អាវ​អេផូដ។ ធ្វើបែបនេះ ដើម្បី​ឲ្យ​ប្រដាប់​ពាក់​លើ​ទ្រូង​នោះ​ស្ថិត​នៅ​ពី​លើ​ខ្សែ​ក្រវាត់ ហើយ​កុំ​ឲ្យ​របូត​ចេញ​ពី​អាវ​អេផូដ។ ធ្វើបែបនេះ ដូច​ព្រះ‌អម្ចាស់​បាន​បង្គាប់​មក​លោក​ម៉ូសេ។
EXO 39:22	លោកបេតសាលាលបានធ្វើអាវវែងរបស់អាវអេផូដ​មួយ​ ដែល​ត្បាញ​ដោយ​ក្រណាត់​ពណ៌​ស្វាយសុទ្ធ។
EXO 39:23	គេកាត់ចំហនៅចំកណ្តាលសម្រាប់ស៊កក្បាលចូល។ គេ​ដេរ‌រឹម​ជុំ‌វិញ​ប្រឡោះ​នោះ ដើម្បី​កុំ​ឲ្យ​​រហែក។
EXO 39:24	នៅតាមជាយខាងក្រោម ពួកគេធ្វើ​​ផ្លែ​ទទឹម​ពណ៌​ស្វាយ ពណ៌​ក្រហម និង​ក្រហម​​ព្រមទាំងក្រណាត់ទេសឯកយ៉ាងស្អាត។
EXO 39:25	ពួកគេធ្វើកណ្តឹងពីមាសសុទ្ធ ហើយពួកគេដាក់កណ្តឹងនៅចន្លោះ រូបផ្លែទទឹមនៅជុំវិញជាយអាវវែងខាងក្រោម នៅចន្លោះរូបផ្លែទទឹម កណ្តឹងមួយ និងរូបផ្លែទទឹមមួយ
EXO 39:26	កណ្តឹងមួយរូបផ្លែទទឹមមួយ នៅលើជាងអាវវែងនោះ សម្រាប់លោកអ៊ើរ៉ុន ដើម្បីបម្រើ។ ធ្វើបែបនេះ ដូចព្រះអម្ចាស់បានបង្គាប់ដល់លោកម៉ូសេ។
EXO 39:27	ពួកគេធ្វើអាវធំពីក្រណាត់ទេសឯកសម្រាប់លោកអ៊ើរ៉ុន និងសម្រាប់កូនប្រុសៗរបស់គាត់។
EXO 39:28	ពួកគេធ្វើឈ្នូតពីក្រណាត់ទេសឯក សម្រាប់លម្អចងក្បាលពីក្រណាត់ទេសឯក ព្រម​ទាំង​ខោ​ស្នាប់​ភ្លៅ​ពី​សំពត់​ខ្លូត‌ទេស​។
