[P, G] إسا[L]إسا|[P, G] إِسَّا[L]إِسَّا	<ol style="listStyleType: circle;"><li style="">now, just now                                                         ;in Iraq this is said هَسَّا[pronunciation: [P, G] ʔissa]</li></ol>
شهر|شَهَّر	<ol style="listStyleType: circle;"><li style="">to slander (ب = s.o.)</li></ol>
شهرة[S] شهرة|شُهرَة[S] شِهْرَة	<ol style="listStyleType: circle;"><li style="">reputation                       ;[pronunciation: šuhra]</li></ol>
شهري|شَهري	<ol style="listStyleType: circle;"><li style="">monthly                                         ;[pronunciation: šahry،šahriyye][keyword]</li></ol>
شهق|شَهَق	<ol style="listStyleType: circle;"><li style="">to bray (e.g. said of a donkey)                               ;[pronunciation: šahaq، yišhaq]</li> <li style="">to sob, gulp, gasp                               ;[pronunciation: šahaq، yišhaq]</li></ol>
شهق|شِهِق	<ol style="listStyleType: circle;"><li style="">to have whooping cough                                                       ; (شِهِق الولدُ، أُصيب بالسعال الديكي، والاسم شَهْقَة);</li></ol>
شهقة|شَهْقَة	<ol style="listStyleType: circle;"><li style="">whooping cough ;</li></ol>
شهل|شَهَّل	<ol style="listStyleType: circle;"><li style="">to pick up (ه = a load, burden)                            ; (شَهَّل الحمْلَ، رَفَعَه);</li> <li style="">to put (ه = s.th.) in a high place                                      ; (شَهَّل المتاعَ، وضعه في مكان عالٍ);</li> <li style="">to nearly finish (في / ه = work, a task, etc.), pick up the pace (ه / ب = in doing s.th.)                                      ; (شَهَّل في العمل، أوشك أن يفرغ منه);</li> <li style="">to put on speed, accelerate</li></ol>
شهنق|شَهنَق	<ol style="listStyleType: circle;"><li style="">to bray (said of a donkey, etc.)                                  ;[pronunciation: šahnaq، yºšahneq]</li></ol>
شهنوقة|شَهْنُوْقَة	<ol style="listStyleType: circle;"><li style="">(a) braying ;</li></ol>
شهوة	<ol style="listStyleType: circle;"><li style="">Edibility                    ; (القابلية للطعام);</li> <li style="">Sperm           ; (النطفة);</li> <li style="">Marks or spots on a newborn, believed to be the result of a craving that the mother experienced during the pregnancy                                                                     ; (علامات تُولَدُ مع الطفل تعتقد العامة أنها سبب اشتهاء زمن الحَمْل);</li></ol>
شهوة[S]شهوة|شَهوِة[S]شَهْوِة	<ol style="listStyleType: circle;"><li style="">desire, passion, lust                       ;[pronunciation: šahwe]</li></ol>
شهى|شَهَّى	<ol style="listStyleType: circle;"><li style="">to whet one's appetite, make one's mouth water, to be appetizing (ه = to s.o.)                                ;[pronunciation: šahha، yºšahhy]</li></ol>
شهية|شَهِيِّة	<ol style="listStyleType: circle;"><li style="">appetite                        [pronunciation: šahiyye]</li></ol>
شهيد|شَهِيْد	<ol style="listStyleType: circle;"><li style="">martyr                                         ;[pronunciation: šahīd،šuhada / šuhadāʔÅ]</li> <li style="">one killed in war (either as a soldier or sometimes used as a civilian)                                                                                                                                                                                                                                                                                                                                                                                                                            ;(note there are some people that take issue with this number, and it definitely shows a bias in favor of those being killed, essentially saying they are all martyrs. The usage, though, is common, and as of the writing of this, it is best evinced in how documentation groups in the Syrian civil war report the dead as شهداء . That said, a more neutral word would be قتيل);[pronunciation: šahīd،šuhada / šuhadāʔÅ]</li> <li style="">martyr</li></ol>
شهير|شَهِيْر	<ol style="listStyleType: circle;"><li style="">well known, famous                                                                            ;(the word مشهور is more common in colloquial);[pronunciation: šahīr،šahīre]</li></ol>
شهيق|شَهِيْق	<ol style="listStyleType: circle;"><li style="">inhalation, breathing in, gasp                       ;[pronunciation: šahīq]</li></ol>
شو|شُوْ	<ol style="listStyleType: circle;"><li style="">What                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;(note that whether the word is said with a long vowel or short vowel, i.e. شُو or شُـ , this dictionary tends to present it as شُو so that the spelling is consistent. There are some exceptions to this, the main one being when شو has merged with another word to form a new word that is widely accepted, such as شْلُون in the Syrian dialect);(note that this word means the same as أَيْش . In the Palestinian dialect, after a preposition the word أَيْش is preferred, but this is not so in other dialects, which simply prefix the preposition onto the word شو , such as عَشُو , i.e. على شو.);(أداة استفهام بمعنى ماذا، ويقولون شُو هو، شو هُوِّي، أو شو نَوِّي، اي ما هو);[pronunciation: šū / šu_]</li> <li style="">relative pronoun: what                          ;[pronunciation: šū / šu_]</li> <li style="">exclamatory particle: what...!                         [pronunciation: šū / šu_]</li> <li style="">what (more examples)          ;[keyword]</li> <li style="">what ((more examples))         [keyword]</li> <li style="">شُوما : whatever, no matter what</li></ol>
شوار|شْوَار	<ol style="listStyleType: circle;"><li style="">a place that overlooks a drop, cliff, edge                               ; (طرف المكان المشرف على هبوط);</li> <li style="">wall built into the foot of a mountain to prevent runoff                                                                                                                                                                       ; (the stone platform formed by this is called a جلّ); (والحائط الذي يُبنى في سفح الجبل لحفظ التراب، والمصطبة التي تتكون من هذا تسمّى جلّ، وقد يُسمّى الجل شوار أيضًا);</li> <li style="">the stone platform formed by the wall built into the side of a mountain ;</li></ol>
شوارب|شَوَاْرِب	<ol style="listStyleType: circle;"><li style="">mustache (treated as singular and plural)</li> <li style="">whiskers</li></ol>
شواض|شَوَاض	<ol style="listStyleType: circle;"><li style="">opposition           ; (معارضة);</li> <li style="">argument, difference (of opinion)                 ; (خلاف ومغايرة);</li> <li style="">prone to or enjoying argue, one whose default position is to oppose anything suggested                                    ; (صفة الذي يُحب المعارضة والخِلاف);</li></ol>
شواطة|شَوَّاْطَة	<ol style="listStyleType: circle;"><li style="">shoelace</li></ol>
شواظ|شَوَاظ	<ol style="listStyleType: circle;"><li style="">(alternative pronunciation of شواض according to المحيط) ;</li></ol>
شوال|شْوَال	<ol style="listStyleType: circle;"><li style="">Sack, bag                                                    ; (العِدْلُ والجوالق);[pronunciation: šºwāl،šºwālāt]</li></ol>
شوال|شَوَّال	<ol style="listStyleType: circle;"><li style="">tenth month of the Islamic lunar year                        ;[pronunciation: šawwāl]</li></ol>
شوام|شَوَام	<ol style="listStyleType: circle;"><li style="">Damascenes, people from Damascus ;</li></ol>
شواندر|شَوَاْنْدَر	<ol style="listStyleType: circle;"><li style="">beet</li></ol>
شواي|شَوَّاي	<ol style="listStyleType: circle;"><li style="">grill</li> <li style="">broiler (e.g. in an oven)</li></ol>
شواية|شَوَايَة	<ol style="listStyleType: circle;"><li style="">a specific tribe in that region of Raqqa, Deir Ezzour, and al-Hasaka ;</li></ol>
شوب|شَوْب	<ol style="listStyleType: circle;"><li style="">Heat, hotness, hot weather                                ; (الحرارة);[pronunciation: šōb]</li> <li style="">hot (invariable adjective)</li> <li style="">warm (invariable adjective)</li></ol>
شوب|شَوَّب	<ol style="listStyleType: circle;"><li style="">to feel hot, be hot (like “I feel hot”)                                ; (شَوَّب الرجلُ، شعر بالحرارة);</li> <li style="">to become hot (said of the weather)                             ; (شوَّب الطقسُ، اشتدّ حرّه);</li></ol>
شوبات|شَوْبَات	<ol style="listStyleType: circle;"><li style="">hot weather (often in the negative sense, like being overly hot)(see also ات for an explanation of what Brustad calls حليبات plurals, i.e. plurals that take ات).</li></ol>
شوباص	<ol style="listStyleType: circle;"><li style="">The representative and overseer or supervisor (e.g. of a plantation)                     ; (الوكيل والخولِيّ);</li></ol>
شوبة|شَوْبِة	<ol style="listStyleType: circle;"><li style="">hot spell, heat, hotness, hot weather                                                                                                                     ; (الحرارة);(plural form used in certian cases, like in folktales, for rhyming purposes, adding a preposition, etc.);</li></ol>
شوبر|شَوْبَر	<ol style="listStyleType: circle;"><li style="">to speak and gesticulate                                                                                                 ; (شوبر الرجلُ، تكلَّم وأكثر من الحركات بيديه وتستعمل مجازًا بمعنى تفاخر وادَّعى، والمصدر شوبرة);</li> <li style="">to brag, make (false or exaggerated) claims ;</li> <li style="">to wave, gesture (with the hand)</li> <li style="">to talk with the hands, gesticulate</li> <li style="">to be prideful, boastful (figuratively)</li> <li style="">to behave like a child</li></ol>
شوبش|شَوْبَش	<ol style="listStyleType: circle;"><li style="">to sing war songs                              ; (أي زغرد وهزج أهازيج الحرب);</li></ol>
شوبق|شوْبق	<ol style="listStyleType: circle;"><li style="">(perhaps an alternative pronunciation of the word شوبك , according to المحيط, but this could just be a dialect variation in pronunciation. See شوبك for the definition) ;</li></ol>
شوبك|شَوْبَك	<ol style="listStyleType: circle;"><li style="">Rolling pin                                                                                                                  ; (خشبة اسطوانية على طرفيها مقبض ترقِّق بها النساءُ العجين، ومرادفه مِسطح أو ملطاط);[pronunciation: šōbak،šawābīk]</li></ol>
شوبن|شَوْبَن	<ol style="listStyleType: circle;"><li style="">to go shopping (this is seriously used in some areas)</li></ol>
شوتف|شَوْتَف	<ol style="listStyleType: circle;"><li style="">to distribute (ه = s.th.) amongst many                                                                                                   ; (شوتف الشيءَ، فرَّقه على كثيرين، وتشوتف الرجلُ، تناول الخبزَ المقدَّس في الكنيسة، والمصدر شوتقة);</li></ol>
شوح|شَوْح	<ol style="listStyleType: circle;"><li style="">fir (tree)</li></ol>
شوح|شوَّح	<ol style="listStyleType: circle;"><li style="">to flee, run away                                                  ; (شوَّح الرجلُ، فرَّ وهرب، وانهزم مفرِّجًا يديه);</li> <li style="">to raise one's hands in defeat ;</li></ol>
شوحة|شُوْحَة	<ol style="listStyleType: circle;"><li style="">Kite (bird of prey)            ; (الحدأَة);</li></ol>
شوحط|شَوْحَط	<ol style="listStyleType: circle;"><li style="">to have chaff or straw gather in front of it, forcing it onto the dirt (said of a thresher)                                                      ; (شوحط النورجُ، تجمَّع القشُّ أمامه فمرّ على التراب);</li> <li style="">to pull, drag (ه = s.th.)                               ; (شوحط الشيءَ، جرَّه وسَحَبه);</li></ol>
شودح|شَوْدَح	<ol style="listStyleType: circle;"><li style="">to wave a stick in a threatening manner, to frighten one's enemies                                                                             ; (شَودَح الرجلُ، لَوَّح بهراوة طويلة في يده تخويفًا لعدوه، مأخوذة من شادوح);</li> <li style="">to become tall        ; (طال);</li></ol>
شور|شَوَّر	<ol style="listStyleType: circle;"><li style="">to walk along the شوار (which is the edge of a place that overlooks a drop)                                                                                               ; (ضد لَزَّق، أي مشى على الشوار، وتستعمل للثور في الفلاحة فيُقال شوّر، أي حِدّ إلى جهة الشوار);</li></ol>
شورب|شَوْرَب	<ol style="listStyleType: circle;"><li style="">to draw a mustache (ه = for s.o. or on s.o.)                                ; (شورب فُلانًا، رسم له شاربين);</li></ol>
شوربة|شَوْرَبَة	<ol style="listStyleType: circle;"><li style="">soup (usually one without meat)                                  ; (الحساء);[pronunciation: šōrɑbɑ]</li></ol>
شورة	<ol style="listStyleType: circle;"><li style="">the side of a mountain that has a wall built into it to prevent runoff and erosion                             ; (الجلّ، وتسمّى أيضًا شوار);</li> <li style="">a line of trees                      ; (الصفُّ من الأشجار);</li></ol>
شورت|شَوْرْت	<ol style="listStyleType: circle;"><li style="">(a pair of) shorts ;</li></ol>
شوش|شَوَّش	<ol style="listStyleType: circle;"><li style="">to confuse, muddle                                  ;[pronunciation: šawwaš، yºšawweš]</li> <li style="">to disturb, disrupt, distort (ه = s.th.)                                  ;[pronunciation: šawwaš، yºšawweš]</li> <li style="">to jam (على = a signal)</li></ol>
شوشة|شُوْشِة	<ol style="listStyleType: circle;"><li style="">tassel</li> <li style="">Entangled, matted hair                           ; (الشعر الكثير المتلبِّد);</li></ol>
شوشح|شَوْشَح	<ol style="listStyleType: circle;"><li style="">to hang (ه = s.th.) in the hair, leave hanging freely (ه = s.th.)                                  ; (شوشح الشيءَ، علَّقه في الفضاء);</li></ol>
شوشر|شَوْشَر	<ol style="listStyleType: circle;"><li style="">to make doubt, worry, anxious (ه = s.o.)                                                                                                        ; (شوشر فلانٌ فلانًا، أقلق باله، وجعله مضطرب، فتشوشر وهو مْشوْشَر، والمصدر شوشرة، واضطراب البال والقلق);</li></ol>
شوشرة|شَوْشَرَة	<ol style="listStyleType: circle;"><li style="">commotion, uproar, racket, disturbance, noise                                ;[pronunciation: šōšara،šawāšer]</li> <li style="">doubt, anxiety, worry                                ;[pronunciation: šōšara،šawāšer]</li> <li style="">rumpus</li></ol>
شوشط|شَوْشَط	<ol style="listStyleType: circle;"><li style="">to burn, be burnt (said of food)                        ; (شوشط الطعامُ، احترق);</li> <li style="">to have prices jump up really high, spike (said of a market)                                                                                                                                 ; (مجازًا،شوشطالسوقُ، ارتفعت أسعاره كثيرًا، ويقال “احترق السوق”، وترِد في مثلٍ كثير الشيوع، “كثرة الطبَّاخين بِتْشَوْشِط الطعام”)</li></ol>
شوط|شَوْط	<ol style="listStyleType: circle;"><li style="">lap</li></ol>
شوطة|شُوْطَة	<ol style="listStyleType: circle;"><li style="">knot         ; (عقدة);</li></ol>
شوغر|شَوْغَر	<ol style="listStyleType: circle;"><li style="">to ignite, burn, take fire                                ; (شوغر النارُ، التهب واتَّقدت);</li></ol>
شوف|شَوْف	<ol style="listStyleType: circle;"><li style="">seeing, sight                     ;[pronunciation: šōf]</li></ol>
شوف|شَوَّف	<ol style="listStyleType: circle;"><li style="">to show (ه = s.th.)        ; (أرى);</li></ol>
شوفاج|شَوْفَاج	<ol style="listStyleType: circle;"><li style="">heating system, heater ;</li></ol>
شوفان|شُوْفَاْن	<ol style="listStyleType: circle;"><li style="">oats</li></ol>
شوفة[S]شوفة|شَوْفِة[S]شَوْفِة	<ol style="listStyleType: circle;"><li style="">sight, vision                                                     ;(instance noun from شاف، يشوف);[pronunciation: šōfe]</li> <li style="">seeing, sight (maSdar from شاف، يشوف )                               ;[pronunciation: šōfe][keyword]</li></ol>
شوفور[S] شوفور|شَوْفَور[S] شَوْفَوْر	<ol style="listStyleType: circle;"><li style="">driver, chauffeur ;</li></ol>
شوفير|شُوفَيْر	<ol style="listStyleType: circle;"><li style="">driver                                 ;[pronunciation: šufēr،šufēriyye]</li></ol>
شوق|شَوْق	<ol style="listStyleType: circle;"><li style="">longing, yearning, desire                                 ;[pronunciation: šōq / [CA] šawʠ]</li></ol>
شوق|شَوَّق	<ol style="listStyleType: circle;"><li style="">to whet (ه = s.o.'s) appetite, arouse (ه = s.o.'s) desire                                  ;[pronunciation: šawwaq، yºšawweq]</li></ol>
شوك[S]شوك|شَوْك[S]شَوْك	<ol style="listStyleType: circle;"><li style="">thorn(s)                     ;[pronunciation: šōk]</li> <li style="">fishbone(s)                     ;[pronunciation: šōk]</li></ol>
شوكة|شَوْكِة	<ol style="listStyleType: circle;"><li style="">fork                                                         ; (ملعقة ذات اسنان يُؤكل بها);[pronunciation: šōke،šuwak]</li> <li style="">forklift (from the Ca الرافِعة الشَوكيّة) ;</li></ol>
شوكة[S]شوكة|شَوْكِة[S]شَوْكِة	<ol style="listStyleType: circle;"><li style="">(a) thorn                      ;[pronunciation: šōke]</li> <li style="">(a) fishbone                      ;[pronunciation: šōke]</li></ol>
شوكولا|شُوْكُولا	<ol style="listStyleType: circle;"><li style="">chocolate ;</li></ol>
شوكي|شَوْكِي	<ol style="listStyleType: circle;"><li style="">spiny, thorny</li></ol>
شول[S]شول|شَوْل[S]شَوْل	<ol style="listStyleType: circle;"><li style="">Desert, wasteland, desolate region                    ; (البادِية، القفر);</li></ol>
شولح|شَوْلَح	<ol style="listStyleType: circle;"><li style="">to become tall, grow tall (Said of a person, child)                            ; (شولح الولدُ، طال وارتفع);</li> <li style="">To throw, to chuck (ه = s.th., or ه = at s.o., ب = s.th.)(Lebanese)</li></ol>
شولم|شَوْلَم	<ol style="listStyleType: circle;"><li style="">to become angry                                                            ; (شولم الرجلُ، اغتاظ وغضب، وتكلَّم بحق غيره كلامًا بذيئًا);</li> <li style="">to speak meanly of others</li></ol>
شوم|شُوْم	<ol style="listStyleType: circle;"><li style="">evil omen, potent, misfortune ;</li> <li style="">bad luck, evil omen                                                             ;used mainly in the example;[pronunciation: šūm / [CA] šuʔ¨m]</li></ol>
شومار|شُوْمَار	<ol style="listStyleType: circle;"><li style="">soot, smut                       ; (الشحطار، اي السناج);</li></ol>
شومر|شَوْمَر	<ol style="listStyleType: circle;"><li style="">to dirty with soot, smut                                                    ; (شومر المكانَ أو سقفَ الغرفةِ، لوَّثه بالشُوْمار);</li> <li style="">fennel                       ;[pronunciation: šōmɑr]</li></ol>
شوه|شَوَّه	<ol style="listStyleType: circle;"><li style="">to deform, mutilate, disfigure, deface, distort (ه = s.th.)                                 [pronunciation: šawwah، yºšawweh]</li></ol>
شوهر|شَوْهَر	<ol style="listStyleType: circle;"><li style="">to watch (على = s.o.) from a high up place, monitor (على = s.o.) and follow his movements                                                                                          ; (شوهر على فلان، راقبه من مكان مشرفٍ, وتتَّبع حركاته، والتركيب مثل السرياني ـــــ ـــــ);</li></ol>
شوى|شَوَى	<ol style="listStyleType: circle;"><li style="">to roast, grill (ه = s.th.)                             ;[pronunciation: šawa، yišwy]</li> <li style="">to fire, bake (ه = s.th., in a kiln)</li> <li style="">to broil (ه = s.th.)</li></ol>
شوي|شُوِّي	<ol style="listStyleType: circle;"><li style="">what is it ;</li></ol>
شوي|شَوي	<ol style="listStyleType: circle;"><li style="">roasting, grilling                      ;[pronunciation: šawy]</li></ol>
شوي|شْوَيّ	<ol style="listStyleType: circle;"><li style="">noun with plural شوَيَّات : a little, bit (an indefinite but not large number or quantity)                                                                                                                                                                                                                                                                                                                  ;In an إضافة structure this has a ة added to it, as in شْوَيِّة . However, in GT’s Syrian dictionary, the pronunciation is either šwayye (when not in an إضافة) or šwayyet (when in an إضافة ), and never šwayy. I don’t find this accurate phonetically, though;(قليل);[pronunciation: šºwayy / šºwayye][keyword]</li> <li style="">noun: a short/small period of time                                           ;[pronunciation: šºwayy / šºwayye][keyword]</li> <li style="">adjectivally: not a lot, little                                  ;[pronunciation: šºwayy / šºwayye]</li> <li style="">adverb: somewhat, a bit                                           ;[pronunciation: šºwayy / šºwayye][keyword]</li> <li style="">(see example) (this is a common case where شوية is used adverbially but also has an adjective describing it, as though it were a noun. For Arabic, this is not odd, since a مفعول مطلق would follow a similar structure)</li></ol>
شويتخ|شْوَيْتُخ	<ol style="listStyleType: circle;"><li style="">a little extra (شوي زيادة) ;</li></ol>
شويحة|شُوَّيْحَة	<ol style="listStyleType: circle;"><li style="">Necklace (that hangs down to the chest) (قِلادَةٌ تعلَّق على الصدر) ;</li></ol>
شويكي	<ol style="listStyleType: circle;"><li style="">goldfinch (Carduelis carduelis)                                         ; (طائر الحسُّون، لانه يقتات بزرَ الشوك);</li></ol>
شي|شِي	<ol style="listStyleType: circle;"><li style="">question marker. This is added to the end of a sentence to indicate a question. More often, though, a rising intonation will be used to indicate a question                                  ;(see also under the CA root شيء);</li></ol>
شي|شِيْ	<ol style="listStyleType: circle;"><li style="">a thing, something                                                                                                                                                                                                                                                                                                   ;(this form is used more the in Lebanese and Syrian dialects. The Palestinian dialect prefers the formإشي, though of course the form شي is understood and sometimes used. Usage ofإشيis considered a “hallmark” of the Palestinian dialect);[pronunciation: šī / ši،ʔ€ešya / [CA] ʔašyāʔÅ][keyword]</li> <li style="">something, some issue, some problem</li> <li style="">some... or other                                                                                                                                                                                                                                                                                                                                                  ;called a “partitive noun” (Cowell) or a “potential article” (Harrell, when writing about Moroccan). Basically, it acts like the word “some” in English when one is being non-specific;pronunciations seem equivalent, Brustad has examples with both pronunciations from the same speaker.[pronunciation: šī / ši،ʔ€ešya / [CA] ʔašyāʔÅ][keyword]</li> <li style="">with negation: nothing         [keyword]</li> <li style="">when used with a number/quantity: about, approximately, some                                                        ;[pronunciation: šī / ši،ʔ€ešya / [CA] ʔašyāʔÅ][keyword]</li></ol>
شيء|شَيء	<ol style="listStyleType: circle;"><li style="">thing                                                                                                                                                ;(note the colloquial pronunciation for this word isشيor إشي . the word شيء is for more in formal registers);[pronunciation: [CA] šayʔÅ،ʔašyāʔÅ]</li></ol>
شيات|شْيَاْت	<ol style="listStyleType: circle;"><li style="">property (plural noun)</li></ol>
شيال|شَيَّال	<ol style="listStyleType: circle;"><li style="">Pot holder, oven mitt                                                                                        ; (خرقة ترفع بها المرأة القِدرَ عن النار، والشيَّال هو العتَّال);[pronunciation: šayyāl]</li> <li style="">brace, suspender, shoulder strap                                 ;[pronunciation: šayyāl،šayyālāt]</li> <li style="">Porter, carrier, person who helps carry bags and the like                                                                                                                                   ; (عتَّال);(only used in some areas. the word عتّال is probably more common throughout the Levant);[pronunciation: šayyāl،šayyālīn]</li></ol>
شيالة|شَيَّاْلِة	<ol style="listStyleType: circle;"><li style="">suspender</li></ol>
شيب|شَيْب	<ol style="listStyleType: circle;"><li style="">white hair, grey hair                     ;[pronunciation: šēb]</li></ol>
شيب|شَيَّب	<ol style="listStyleType: circle;"><li style="">to give (ه = s.o.) grey / white hairs, turn (ه = s.o.'s) hair grey / white                                  ;[pronunciation: šayyab، yºšayyeb]</li></ol>
شيبة|شَيْبِة	<ol style="listStyleType: circle;"><li style="">aging, become oldمن العربية: الشَيْبة: الاسم من شاب.وفي ملحمات أوگاريت: شبت.من أقسامهم: وشيبة أبو بكر الصديق.من تهكماتهم: أش مْخبِّي لهالشيبة؟</li></ol>
شيت|شِيْت	<ol style="listStyleType: circle;"><li style="">a cotton cloth that has designs printed on it in different colors                                             ; (نسيج قطني تُطبَع عليه رسوم بألوان مختلفة);</li></ol>
شيت[S] شيت[P, J]شيت|شَيْت[S] شِيْت[P, J]شَيْت	<ol style="listStyleType: circle;"><li style="">belonging to                                                                                                    ;(In Palestine this is used in the Jerusalem and Jaffa regions);[pronunciation: [P, J] šēt][keyword]</li></ol>
شيح|شِيْح	<ol style="listStyleType: circle;"><li style="">Things, usually small bushes, given to silk worms so that they can weave their cocoons                                                                                                                                                                                        ; (ما يستعمله الفلّاح لدود القزّ ليحوك فيه الشرانق، وأكثر ما يكون الشيحُ شجيرات صغيرة، يشقُّون فِعلًا شَيَّح، اي جهَّز دودَ الحرير بالشيح، ويُقال طلعناشِيحبَرِيح، أي لا علينا ولا لنا);</li></ol>
شيح|شَيَّح	<ol style="listStyleType: circle;"><li style="">to provideشيح(i.e. some material, usually small bushes) to the silk worm so it can weave its cocoon ;</li></ol>
شيخ|شَيْخ	<ol style="listStyleType: circle;"><li style="">old man, elder                                                                                                                                                                                                                                                                                                                                                                                                          ;(note that the basic meaning is an old man, usually one that is respected, such as an elder of a tribe would be respected for his knowledge and position in his community, or a learned scholar would be respected for his knowledge and time devoted to learning. From this basic meanings there are a variety of specific uses noted in the other definitions.);[pronunciation: šēḵ،šºyūḵ / [CA] šuyūḵ]</li> <li style="">title of and form of address to an older man                                        ;[pronunciation: šēḵ،šºyūḵ / [CA] šuyūḵ]</li> <li style="">title of and form of address to a man that is a “professional” in some part of Islam and who has some “religious status”, such as a reciter of the Koran, or the head of a Sufi order, etc.                                        ;[pronunciation: šēḵ،šºyūḵ / [CA] šuyūḵ]</li> <li style="">sheikh, chief, leader (of a group, usually of a Bedouin tribe)                                        ;[pronunciation: šēḵ،šºyūḵ / [CA] šuyūḵ]</li> <li style="">acknowledged mentor or master                                        ;[pronunciation: šēḵ،šºyūḵ / [CA] šuyūḵ]</li> <li style="">senator</li></ol>
شيخوخة|شَيخُوْخَة	<ol style="listStyleType: circle;"><li style="">old age                         ;[pronunciation: šayḵūḵa]</li></ol>
شيد|شِيْد	<ol style="listStyleType: circle;"><li style="">whitewash, lime wash                                          ;(in some areas only);[pronunciation: šīd]</li></ol>
شيد|شَيَّد	<ol style="listStyleType: circle;"><li style="">to build well, construct well                        ;[pronunciation: šayyad]</li></ol>
شير|شِيْر	<ol style="listStyleType: circle;"><li style="">a large boulder that overlooks an edge                                  ; (الصخر الكبير المشرف على حافةٍ);</li></ol>
شير|شَيَّر	<ol style="listStyleType: circle;"><li style="">to make (ه = s.o.) lose his way, get lost                                                      ; (شَيَّر فُلانٌ فلانًا، جعله أن يُضيَّع طريقه ويتيه);</li> <li style="">to share (ه = s.th., e.g. on Facebook) ;</li></ol>
شيرة|شِيْرَة	<ol style="listStyleType: circle;"><li style="">sugar-based syrup (made by dissolving sugar in water boiling it. Usually something like rose water is added, and then sometimes citric acid is added to cut the sweetness) (the more common word for this in the Levant is قَطِر . I've only seen شيرة in cookbooks)</li></ol>
شيري|شَيْرِي	<ol style="listStyleType: circle;"><li style="">sherry</li></ol>
شيش|شَيْش	<ol style="listStyleType: circle;"><li style="">in backgammon and other games: six</li></ol>
شيش|شِيْش	<ol style="listStyleType: circle;"><li style="">skewer, shish-kebob stick         ; (سفود);</li> <li style="">ramrod, rifle rod (for loading a muzzleloader type gun)                                               ; (قضيب من حديد يستعمل في حشو البنادق القديمة);</li></ol>
شيشر|شَيْشَر	<ol style="listStyleType: circle;"><li style="">to muddle, confuse (ه = s.o.), (شيشر القومَ، بلبل أفكارهم وشوَّش عليهم الأمر) ;</li></ol>
شيطان|شِيْطَان	<ol style="listStyleType: circle;"><li style="">devil, demon                                              ;[pronunciation: šīṭᾱn، / [CA] šayṭᾱn،šayᾱṭīn]</li> <li style="">الشيطان : the Devil, Satan                                              ;[pronunciation: šīṭᾱn، / [CA] šayṭᾱn،šayᾱṭīn]</li></ol>
شيطن|شَيْطَن	<ol style="listStyleType: circle;"><li style="">to act devilish, be naughty and misbehave (often said of children)                   ; (الفعل من شيطان);</li></ol>
شيطنة|شَيْطَنِة	<ol style="listStyleType: circle;"><li style="">mischief</li></ol>
شيع|شَيَّع	<ol style="listStyleType: circle;"><li style="">to disseminate, distribute, publicize, spread (ه = s.th.)                                  ;[pronunciation: šayyaʕ، yºšayyeʕ]</li> <li style="">to escort or join (ه = a funeral procession)                                  ;[pronunciation: šayyaʕ، yºšayyeʕ]</li></ol>
شيعة|شِيْعَة	<ol style="listStyleType: circle;"><li style="">faction, sect                      ;[pronunciation: šīʕa]</li> <li style="">Shia Islam                      ;[pronunciation: šīʕa]</li> <li style="">Shiites, adherents to the Shia sect of Islam                                                         ;(this is treated as a plural noun);[pronunciation: šīʕa]</li></ol>
شيعي|شِيْعي	<ol style="listStyleType: circle;"><li style="">Shiite, Shia, of or related to the Shiite sect of Islam                              ;[pronunciation: šīʕy،šiʕiyye]</li> <li style="">Shia (person, an adherent to the Shia sect of Islam)                                   ;[pronunciation: šīʕy،šīʕa،šiʕiyye]</li></ol>
شيفرة[S]شيفرة|شِيْفْرَة[S]شِيْفْرَة	<ol style="listStyleType: circle;"><li style="">code                        ;[pronunciation: šīfºrɑ]</li></ol>
شيك|شَيكّ	<ol style="listStyleType: circle;"><li style="">check, cheque                                             ;[pronunciation: šakk / šekk،šakkāt / šekkāt]</li></ol>
شيك|شِيْك	<ol style="listStyleType: circle;"><li style="">fancy, chic, smart-looking, fashionable (invariable)</li></ol>
شيك|شَيَّك	<ol style="listStyleType: circle;"><li style="">to check, check on (ه = s.th.) ;</li></ol>
شيك[S]شيك|شَيْك[S]شَيْك	<ol style="listStyleType: circle;"><li style="">check, cheque                     ;[pronunciation: šēk]</li></ol>
شيكل|شَيْكِل	<ol style="listStyleType: circle;"><li style="">shekel (Israeli monetary unit)                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;(note that sometimes the singular is used as a collective plural. This most commonly affects the word when it follows the number 3-10, which, if it were a “normal” word, would require it to be plural. However, with شيكل, it can either remain singular, in which case the number must have a ة , as in:خَمْسِة  شَيْكِل : five shekels;or it can become a plural, in which case the number looses the ة , as in:خَمِس شَوَاْكِل);[pronunciation: šēkel،šawākel]</li></ol>
شيل|شَيَّل	<ol style="listStyleType: circle;"><li style="">to leave, depart (more in a long term sense, like emigrating, leaving behind)               ; (ارتحل وهجر);</li></ol>
شيلة|شَيْلِة	<ol style="listStyleType: circle;"><li style="">Load, amount, thing being carried or lifted                   ; (حِمْلةٌ، كميّة);</li></ol>
