#desc	English to Khmer Dictionary from <a href="https://play.google.com/store/apps/details?id=com.sonveasna.dictionary&hl=en">English Khmer Dictionary</a> by DroidSVS
#priority	2
#en	ipa	khph	desc	tags
look (2)	lʊk	លុកខ៍	<ul><li><p-n>(noun)</p-n><ol><li>. cast a ~<p-l> @គន់មើល </p-l><br/>have a ~ at<p-l> @សម្លឹងមើល </p-l><br/>take a ~<p-l> @ការមើលឬក្រឡេកមើល </p-l></li><li><p-l> @ឫកពា, ក្រសែភ្នែក, មុខមាត់</p-l><br/> questioning ~<p-l> @ទឹកមុខ </p-l><br/>unhealthy ~<p-l> @ភិនភាគខាងក្រៅ </p-l><p-n>(pl.)</p-n>like<br/> her ~<p-l> @រូបរាង&nbsp;</p-l></li></ol></li></ul>	noun
look out	ˈlʊkaʊt	ˈលុកខ៍អៅថ៍	<ul><li><p-n>(noun)</p-n><ol><li>keep a ~<p-l> @ការឃ្លាំមើល, ការឈ្លកមើល </p-l><br/></li><li>climb the ~<p-l> @សើនសម្រាប់ឃ្លាំមើល</p-l><br/></li><li>He's a ~<p-l> @អ្នកឃ្លាំមើល</p-l> <p-n>(Coll.)</p-n>That's your<br/> ~<p-l> @កិច្ចការ, បញ្ហា </p-l></li><li><p-n>(sing only)</p-n><p-l> @ទិដ្ឋភាព, ទស្សនាការ</p-l> <p-n>(Fig.)</p-n><p-l> @អនាគតដ៏ភ្លឹស្វាង&nbsp;</p-l></li></ol></li></ul>	noun
look over	ˈlʊkˈəʊvə(r)	ˈលុកˈអូវ៉ឹ(រ)	<ul><li><p-n>(verb)</p-n><p-l> @ពិនិត្យពិច្ច័យ&nbsp;</p-l></li></ul>	verb
look through	ˈlʊkθru:	ˈលុកស្រូ	<ul><li><p-n>(verb)</p-n><p-l> @ពិនិត្យ</p-l></li></ul>	verb
looker	lʊkə(r)	លុកខឺ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកសម្លឹងមើល </p-l></li></ul>	noun
looker-on	ˌlʊkəˈɒn	ˌលុកខឹˈអន	<ul><li><p-n>(noun)</p-n><p-n>(pl. lookers-on)</p-n><p-l> @អ្នកទស្សនា, អ្នកនៅសម្លឹងមើល</p-l></li></ul>	noun
looking	ˈlʊkɪŋ	ˈលុកឃីង	<ul><li><p-n>(noun)</p-n><p-l> @មុខមាត់&nbsp;</p-l></li></ul>	noun
looking-glass	ˈlʊkɪŋ glɑ:s	ˈលិកឃីង ហ្កឡាស	<ul><li><p-n>(noun)</p-n><p-l> @កញ្ចក់ឆ្លុះ </p-l></li></ul>	noun
loom (1)	lu:m	លូម	<ul><li><p-n>(noun)</p-n><p-l> @កី&nbsp;</p-l></li><li><p-n>(transitive verb)</p-n><p-l> @ត្បាញ (នឹងកី) </p-l> </li></ul>	noun
loom (2)	lu:m	លូម	<ul><li><p-n>(intransitiv verb)</p-n><p-l> @លេចឡើងស្ទុងៗ&nbsp;</p-l></li></ul>	verb
loony (also luny)	lu:nɪ	លូនី	<ul><li><p-n>(adjective)</p-n><p-n>(-ier,-iest)</p-n><p-n>(Sl.)</p-n><p-l> @ឆ្កួត&nbsp;</p-l></li><li><p-n>(noun)</p-n><p-l> @មនុស្សឆ្កួត </p-l> </li></ul>	adjective
loop	lu:p	លូបផ៍	<ul><li><p-n>(noun)</p-n><ol><li>~ in the cord<p-l> @រង្វង់ (ខ្សែ) </p-l><br/></li><li>~ around a city<p-l> @ជុំ </p-l></li><li><p-l> @អន្ទាក់ </p-l></li></ol></li><li><p-n>(transitive verb)</p-n>~ string around<p-l> @រុំ </p-l><br/>hightways ~ the city<p-l> @ព័ទ្ធជុំវិញ </p-l></li><li><p-n>(intransitive verb)</p-n>strings ~<p-l> @ឡើងរង្វង់ៗ </p-l><br/>airplanes ~<p-l> @បើកឡើងទៅលើហើយចុះវិញជារង្វង់ </p-l> </li></ul>	noun
loophole	ˈlu:phəʊl	ˈលូបផ៍ហូល	<ul><li><p-n>(noun)</p-n><ol><li>gun ~<p-l> @ច្រកបាញ់ </p-l></li><li><p-l> @កលល្បិច </p-l></li><li><p-l> @មធ្យោបាញនៃការគេចពីច្បាប់&nbsp;</p-l></li></ol></li><li><p-n>(transitive verb)</p-n><p-l> @ប្រើកលល្បិច </p-l> </li></ul>	noun
loopy	ˈlu:pɪ	ˈលូភី	<ul><li><p-n>(adjective)</p-n><p-n>(Sl.)</p-n><p-l> @ឆ្កួត&nbsp;</p-l></li></ul>	adjective
loose (1)	lu:s	លូស	<ul><li><p-l>@(adjective). (-r,-st) ១. ~ hands ដែលឥតជាប់ចំណង</p-l><br/> ~ house<p-l> @ដែលរួច </p-l></li><li><p-l> @ដែលឥតជាប់គ្នា, ដាច់ពីគ្នា </p-l><br/></li><li>~ funds<p-l> @ដែលប្រើបាន </p-l><br/></li><li>~ woman<p-l> @អាវ៉ាសែ, រាត់រាយ </p-l></li><li><p-l> @រលុង, នៅធូរលុង </p-l>loose tongue<p-l> @មាត់បិទមិនជិត (អ.ប) </p-l><br/></li><li>~ thinking<p-l> @រាក់កំផែល, មិនច្បាស់លាស់ </p-l></li><li><p-l> @មិនណែន, ដែលគ្រប់គ្រងពុំបានណែនល្អ </p-l></li><li><p-l> @មិនប្រយ័ត្ន, គ្មានគោលដៅច្បាស់លាស់ </p-l>let loose<p-l> @ដោះលែងទៅ </p-l>at loose ends<p-n>(s)</p-n><p-l> @យ៉ាងខ្ចិលច្រអូស</p-l> a loose use of the adjectives<p-l> @ការប្រើគុណស័ព្ទយ៉ាងធ្វេសប្រហែស</p-l> on the loose <p-n>(s)</p-n><p-l> @ដើរភ្លើតភ្លើន </p-l>loose change<p-l> @ប្រាក់កាក់ </p-l>loose leaf book<p-l> @សៀវភៅដែលមានសន្លឹកដាច់ពីគ្នា </p-l>loose leaf book<p-l> @សៀវភៅសន្លឹកធំដាច់ពីគ្នា</p-l> a loose talker<p-l> @មាត់និយាយអេចអូច&nbsp;</p-l></li></ul>IDIOM<ul><li>loose ends <p-l>@រឿងមិនទាន់ដាច់ស្រេច </p-l></li><li>loosely <p-n>(adverb)</p-n><p-l> @យ៉ាងធូររលុង, ដោយមិនប្រយ័ត្នប្រយែង, ដោយមិនប្រយ័ត្នប្រយែង, ដោយធម្មតា </p-l></li><li>looseness <p-n>(noun)</p-n><p-l> @ការអេចអូច </p-l> </li></ul>	adjective
loose (2)	lu:s	លូស	<ul><li><p-n>(transitive verb)</p-n><ol><li>~ a house<p-l> @លែងអោយរួច </p-l><br/>~ a knot<p-l> @ស្រាយ </p-l><br/>~ a boat<p-l> @ស្រាយអោយរសាត់ទៅ </p-l><br/></li><li>~ restrictions<p-l> @បន្ធូរ</p-l><br/> <p-n>(Lit.)</p-n>~ an arrow<p-l> @បាញ់ </p-l></li><li><p-l> @ធ្វើអោយមានសេរភាពដោះលែង&nbsp;</p-l></li></ol></li><li><p-n>(intransitiv verb)</p-n>let loose <p-n>(a bird)</p-n><p-l> @ដោះលែង</p-l> <p-n>(Coll.)</p-n>let loose <p-n>(an oath)</p-n><p-l> @ប្រកាស </p-l>run loose<p-l> @ទៅណាក៏ដោយ </p-l></li></ul>	transitive verb
loose leaf	lu:s lif	ˈលូស ˈលីហ្វ	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលមានទំព័រត្រូវយកចេញហើយដាក់ដោយឡែក&nbsp;</p-l></li></ul>	adjective
loosely	ˈlu:slɪ	ˈលីស្លី	<ul><li><p-n>(adverb)</p-n><p-l> @យ៉ាងធូររលុង, ដោយមិនប្រយ័ត្នប្រយែង, ដោយមិនប្រយ័ត្នប្រយែង, ដោយធម្មតា </p-l></li></ul>	adverb
loosen	ˈlu:sn	ˈលូស្ហិន	<ul><li><p-n>(transitive verb)</p-n><ol><li>one's shoe<p-l> @ស្រាយ ~ restrictions បន្ធូរ</p-l><br/></li><li>~ the soil<p-l> @ជ្រាយ&nbsp;</p-l></li></ol></li><li><p-n>(intransitive verb)</p-n><p-l> @ឡើងធូរ </p-l> </li></ul>	transitive verb
looseness	ˈlu:snɪs	ˈលូស៍និស	<ul><li><p-n>(noun)</p-n><p-l> @ការអេចអូច </p-l> </li></ul>	noun
loot	lu:t	លូតថ៍	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @របស់លួចប្លន់បាន, របស់ចោរ ២. របស់ចោរប្លន់&nbsp;</p-l></li></ol></li><li><p-n>(transitive verb)</p-n><p-l> @លួច </p-l></li><li>looter <p-n>(noun)</p-n><p-l> @ចោរលួច </p-l> </li></ul>	noun
looter	ˈlu:tə(r)	ˈលូថឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @ចោរលួច </p-l> </li></ul>	noun
lop	lɒb	ឡប	<ul><li><p-n>(transitive verb)</p-n><p-n>(-bb-)</p-n><ol><li><p-l> @ដើររអ៊ីករអ៊ាក, ធ្វើដំណើរធ្ងន់ខ្លួន </p-l></li><li><p-l> @វាយបាល់បង្ហើរ&nbsp;</p-l></li></ol></li><li><p-n>(noun)</p-n><p-l> @បាល់ហើរ </p-l> </li></ul>	transitive verb
lop	lɒp	ឡប់ផ៍	<ul><li><p-n>(transitive verb)</p-n><ol><li><p-l> @កាត់ចេញ, ច្រិប(ចោល) </p-l></li><li><p-l> @ស្វិត, ស្រពោន, ទ្រោម, ធ្លាក់សំយុងចុះ&nbsp;</p-l></li></ol></li></ul>	transitive verb
lop-eared	ˈlɒpɪəd	ˈឡប់ផ៍អៀដ៍	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលមានស្លឹកត្រចៀកវែង&nbsp;</p-l></li></ul>	adjective
lope	ləʊp	ឡូបផ៍	<ul><li><p-n>(intransitive verb)</p-n><p-l> @បោល&nbsp;</p-l></li><li><p-n>(transitive verb)</p-n><p-l> @បំបោល </p-l></li><li><p-n>(noun)</p-n><p-l> @ដំណើរបោល </p-l> </li></ul>	intransitive verb
loped	leʊbd	ឡូបដ	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលមានរាងមូលស្រួច </p-l> </li></ul>	adjective
lopsided	lɒpˈsaɪdɪd	ឡប់សាយឌីដ	<ul><li><p-n>(adjective)</p-n><p-l> @ផ្ទៀងទៅម្ខាង&nbsp;</p-l></li></ul>	adjective
loquacious	ləˈkweɪʃəs	ឡឹខ្វេយស្ហឹល	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលនិយាយច្រើន, ប្រសព្វនិយាយ&nbsp;</p-l></li><li>loquaciously <p-n>(adverb)</p-n><p-l> @ដោយនិយាយច្រើន </p-l></li><li>loquaciousness, loquacity <p-n>(noun)</p-n><p-l> @ការប្រសព្វនិយាយ</p-l> </li></ul>	adjective
loquaciously	-ʃəslɪ		<ul><li><p-n>(adverb)</p-n><p-l> @ដោយនិយាយច្រើន </p-l></li></ul>	adverb
loquaciousness, loquacity	ləˈkweɪʃəsnɪs	ឡឹˈខ្វេស្ហឹសនិស	<ul><li><p-n>(noun)</p-n><p-l> @ការប្រសព្វនិយាយ</p-l> </li></ul>	noun
loquat	ˈləʊwɒt	ˈឡូខ្វតថ៍	<ul><li><p-n>(noun)</p-n><p-l> @ក្រូចឃ្វិច&nbsp;</p-l></li></ul>	noun
lord	lɔ:d	ឡដ	<ul><li><p-n>(noun)</p-n><ol><li>~ of manor<p-l> @ម្ចាស់ </p-l><p-n>(BrE.)</p-n>House of Lords<p-l> @សភាពជាន់ខ្ពស់ប្រទេសអង់គ្លេស </p-l><br/></li><li><p-n>(Cap.,Rel.)</p-n>praise the ~<p-l> @ព្រះអាទិទេព&nbsp;</p-l></li></ol></li><li><p-n>(transitive verb)</p-n> </li></ul>IDIOM<ul><li>lord it over s.o.<p-l> @ជិះជាន់, សង្កត់សង្កិន </p-l>lords of creation<p-l> @មនុស្សយើងម្នាក់ៗ </p-l>lord chancellor<p-l> @ប្រធានសភានិងអំណាចតុលាការ </p-l>lord and master<p-l> @មានន័យដល់ស្វាមី</p-l> First lord of the Treasury<p-l> @រដ្ឋមន្ត្រីក្រសួងហិរញ្ញវត្ថុ </p-l>lord of the forest <p-l>@រាជសីហ៍ </p-l>Lord Mayor<p-l> @នាយកទេសរដ្ឋមន្ត្រី </p-l>Lord Temporal<p-l> @មន្ត្រីថ្នាក់ខ្ពស់ដែលអង្គុយក្នុសភា </p-l>Lord Spiritual<p-l> @ព្រះសមរណោ:ថ្នាក់បណ្ឌិត</p-l></li></ul>	noun
lordliness	-dlɪnes	-ដលីនេស	<ul><li><p-n>(noun)</p-n><p-l> @ការព្រហើន </p-l> </li></ul>	noun
lordly	ˈlɔ:dlɪ	ˈឡដលី	<ul><li><p-n>(adjective)</p-n><p-n>(-ier,-iest)</p-n>dismiss people with a ~ gesture<p-l> @ដែលព្រហើន </p-l><br/>~ mansion<p-l> @ដែលស្អាតល្អ, ដ៏អស្ចារ្យ&nbsp;</p-l></li><li>lordliness <p-n>(noun)</p-n><p-l> @ការព្រហើន </p-l> </li></ul>	adjective
lordship	ˈlɔ:dʃɪp	ˈឡដស្ហ៊ីបផ៍	<ul><li><p-n>(noun)</p-n><p-l> @ភាពជាម្ចាស់របស់&nbsp;</p-l></li></ul>	noun
lore	lɔ:(r)	ឡ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @ជំនឿទាក់ទងនឹងរឿងព្រេង</p-l></li></ul>	noun
lorgnette	lɔ:ˈnjet	ឡˈនេ្យតថ៍	<ul><li><p-n>(noun)</p-n><p-l> @វ៉ែនតាដងវែង</p-l></li></ul>	noun
lorn	lɔ:n	ឡន	<ul><li><p-n>(adjective)</p-n><p-l> @ស្រណោះ, ស្រងេះស្រង៉ោច, ញាប់ញ័រ </p-l>lorn widow<p-l> @ស្រ្តីមេម៉ាយអផ្សុក&nbsp;</p-l></li></ul>	adjective
lorry	ˈlɒri,lɔ:rɪ	ˈឡករី	<ul><li><p-n>(US truck)</p-n><p-n>(noun)</p-n><p-l> @ឡានដឹកទំនិញធំៗ, រថយន្តធំៗ&nbsp;</p-l></li></ul>	noun
lose	lu:z	លូហ្ស	<ul><li><p-n>(transitive verb)</p-n><p-n>(pt.pp. lost)</p-n>~ a cion<p-l> @បាត់ </p-l><br/>~ a battle<p-l> @ចាញ់ </p-l><br/>~ money in business<p-l> @ខាត </p-l>loss one's way<p-l> @វង្វេងផ្លូវ</p-l> lose one's balance<p-l> @អស់លំនឹង </p-l>lose one's mind<p-l> @ឆ្កួត </p-l><br/>~ one's life<p-l> @បាត់បង់ </p-l>lose time<p-l> @ខាតពេល </p-l>lose face<p-l> @អាប់មុខ </p-l><br/>~ speed<p-l> @ថយ, ចុះ </p-l><br/>~ a friend <p-n>(by death)</p-n><p-l> @អស់, បាត់បង់ (ដោយស្លាប់)</p-l><br/> ~ soldiers<p-l> @ស្លាប់ </p-l>lose caste<p-l> @ដូចឆ្កួតទំពែកក្បាល</p-l> lose all pateince<p-l> @អត់ទ្រាំលែងបាន </p-l>lose ground<p-l> @ថយ (គុណភាព, កិត្តិយស, អនាម័យ) </p-l>lose heart<p-l> @អស់លទ្ធភាព</p-l> lose time<p-l> @ខាត់បង់ពេលវេលា</p-l> lose one's temper<p-l> @កើតមានកំហឹង</p-l> lose balance<p-l> @បាត់បង់ជំហរ, ខូចលំនឹង</p-l> lose all reason<p-l> @គ្មានហេតុផល ទាល់តែសោះ</p-l> lose one's caste<p-l> @បាត់បង់ការគោរព </p-l>lose control<p-l> @បាត់បង់ការត្រួតត្រា, បាត់ម្ចាស់ការ</p-l> lose courage<p-l> @បាត់បង់សេចក្តីក្លាហាន, អស់សង្ឃឹម</p-l> lose face<p-l> @អាម៉ាស់មុខ, បាក់មុខបាក់មាត់</p-l> lose one's grip<p-l> @បាតបង់ការត្រួតត្រា</p-l> lose one's heard<p-l> @បាត់ម្ចាស់ការ </p-l>lose one's heart<p-l> @បាត់បង់សេចក្តីក្លាហាន, ធ្លាក់ខ្លួនក្នុងសេក្តីស្នេហា </p-l>lose one's life<p-l> @ស្លាប់, បាត់បង់ជីវិត</p-l> lose one 's seat<p-l> @បាត់បង់កៅអី (សភា) </p-l>lose sight of<p-l> @លែងបានឃើញ, មើលរំលង </p-l>lose one's temper<p-l> @ខឹង </p-l>lose out<p-l> @ចាញ់ </p-l>lose value<p-l> @ចុះតំលៃ </p-l>lose the day<p-l> @បរាជ័យ </p-l>lose sight of<p-l> @ផុតកន្ទុយភ្នែក</p-l> </li><li><p-n>(intransitive verb)</p-n>~ on a deal<p-l> @ខាត </p-l><br/>both sides ~<p-l> @ចាញ់ </p-l></li><li>loser <p-n>(noun)</p-n><p-l> @អ្នកចាញ់, អ្នកខូចខាត </p-l> </li></ul>	transitive verb
loser	ˈlu:zə(r)	ˈលូហ្សឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកចាញ់, អ្នកខូចខាត </p-l> </li></ul>	noun
loss	lɒs	ឡស់	<ul><li><p-n>(noun)</p-n>financial ~<p-l> @ការខាត </p-l><br/>~ of a friend<p-l> @ការបាត់បង់ (ដោយស្លាប់) </p-l><br/>~ of confidence<p-l> @ការអស់</p-l><br/> ~ of a battle<p-l> @ការចាញ់</p-l> <p-n>(sell)</p-n>at a loss<p-l> @ខាត </p-l>at a loss for words<p-l> @រកអ្វីនិយាយគ្មាន </p-l>to be at loss<p-l> @ឆ្អែតចិត្តទាល់ប្រាជ្ញា</p-l> meet with a loss<p-l> @ខាតទុនុំ ខាតដើម </p-l>actual total loss<p-l> @ការខាតបង់សរុបជាក់ស្តែង</p-l> loss of customers<p-l> @ការរលោះអតិថិជន, កាបាត់ម៉ូយ </p-l>loss of earning<p-l> @ការបាត់បង់ចំណូល</p-l> loss in transport<p-l> @ការបាត់បង់ទំនិញពេលដឹកជញ្ជូន </p-l>loss in transport<p-l> @ការបាត់បង់ទំនិញពេលដឹកជញ្ជូន </p-l>loss in weight<p-l> @ការបាត់ទំងន់</p-l></li></ul>	noun
lost	lɒst;US lɔ:st	ឡស់ថ៍	<ul><li><p-n>(adjective)</p-n>~ books<p-l> @បាត់ </p-l><br/>~ in the woods<p-l> @វង្វេង </p-l><br/>get ~ <p-n>(in a city)</p-n><p-l> @វង្វេង </p-l><br/><p-n>(Sl.)</p-n>get ~<p-l> @ទៅណាបាត់ទៅ </p-l><br/>~ cause<p-l> @គោលបំណងដែលគ្មានសង្ឃឹម </p-l><br/>~ all bearings<p-l> @វង្វេងទិសតំបន់ </p-l><br/>a ~ cause<p-l> @ចំណុចថាគ្មានសង្ឃឹម </p-l><br/>~ in admiration<p-l> @ចូលចិត្តទាល់តែនិយាយមិនចេញ</p-l> lost to shame<p-l> @អស់ការខ្មាស់អៀន </p-l>lost in thought<p-l> @នៅស្ងៀមគិត </p-l></li></ul>	adjective
lot (1)	lɒt	ឡត់ថ៍	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @សម្រាប់សង់សំណង, ឡូត៍(ដី) </p-l><br/></li><li>a ~ of<p-l> @ច្រើន, បរិមាណដ៏ច្រើន </p-l></li><li><p-l> @មួយចំនួន </p-l></li><li><p-l> @សំណាង, វាសនា, វេនចាប់ឆ្នោត </p-l><br/>to draw <p-n>(cast)</p-n>~<p-l> @ចាប់ឆ្នោត, ចេញឆ្នោត </p-l></li><li><p-l>@. របៀបសំរេច </p-l></li><li>a<br/> bad ~ <p-n>(Coll.)</p-n><p-l> @មនុស្សកំហូច </p-l></li></ol></li></ul>	noun
lot (2)	lɒt	ឡត់ថ៍	<ul><li><p-n>(noun)</p-n><p-n>(Coll.)</p-n><p-l> @ទាំងអស់, ទាំងមូល, ទាំងស្រុង </p-l>draw lots, cast lots<p-l> @សំរេចចិត្តដោយការចាប់ឆ្នោត </p-l><br/>throw in one's ~ with<p-l> @រួមក្បាលលិចកន្ទុយ&nbsp;</p-l></li></ul>	noun
loth	ləʊθ	ឡូស	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលមិនពេញចិត្ត</p-l></li></ul>	adjective
lotion	ˈləʊʃn	ˈឡូស្ហិន	<ul><li><p-n>(noun)</p-n><p-l> @ថ្នាំរាវសម្រាប់លាប ឬលាង&nbsp;</p-l></li></ul>	noun
lottery	ˈlɒtərɪ	ˈឡត់ថឹរី	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @ឆ្នោត (ប្រាក់)</p-l></li><li><p-l> @អ្វីដែលមិនប្រាកដប្រជា</p-l> <p-n>(Fig.)</p-n><p-l> @ការផ្សងសំណាង, ល្បែងឆ្នោត&nbsp;</p-l></li></ol></li></ul>	noun
lotto	ˈlɒtəʊ	ˈឡត់ថូ	<ul><li><p-n>(noun)</p-n><p-l> @ល្បែងឡូតូ&nbsp;</p-l></li></ul>	noun
lotus (also lotos)	ˈləʊtəs	ˈឡូថឹស	<ul><li><p-n>(noun)</p-n>(pl. ~ es /ˈləʊtəsɪz /<p-l>@ឈូក​</p-l> <p-n>(Lit.)</p-n><p-l> @បទុម</p-l><br/> ~ leaves<p-l> @ស្លឹកឈូក </p-l></li><li>lotus-eater /ˈləʊtəsi:tə<p-n>(r)</p-n>/<p-l>@[ˈឡូថឹស អ៊ីតថឹ(រ)](noun). មនុស្សកំជិលដើរដេកដើរសប្បាយ </p-l> </li></ul>	noun
loud	laʊd	ឡៅដ៍	<ul><li><p-n>(adjective)</p-n><p-n>(-er,-est)</p-n>~ noise<p-l> @ខ្លាំង </p-l><br/>~ colors<p-l> @ឆើត </p-l><br/>~ children<p-l> @ឡូឡាខ្លាំង </p-l>read out loud<p-l> @មើលអោយឮ</p-l></li><li>loudly <p-n>(adverb)</p-n><p-l> @យ៉ាងខ្លាំង </p-l></li><li>loudness <p-n>(noun)</p-n><p-l> @ភាពខ្លាំង</p-l></li><li>loud'hailer <p-n>(US bullhorn)</p-n> /ˈlaʊdˈheɪlə<p-n>(r)</p-n>/<p-l>@[ˌឡៅដ៍ˈហេឡឹ(រ)]</p-l><p-n>(noun)</p-n><p-l> @ប្រដាប់ពង្រីកសម្លេង,ឧឃោសនស័ព្ទ </p-l> </li><li>loudmouthed <p-n>(adjective)</p-n><p-l> @មានសម្លេងខ្លាំង</p-l> </li><li>loud speaker <p-n>(also speaker)</p-n><p-n>(noun)</p-n><p-l> @ឧឃោសនស័ព្ទ, ប្រដាប់បំពងសម្លេង </p-l><p-n>(Fr.)</p-n><p-l> @អូប៉ាល័រ </p-l> </li></ul>	adjective
loud speaker (also speaker)	ˌlaʊdˈspi:kə(r)	ˌឡៅដ៍ ស្ពីកខឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @ឧឃោសនស័ព្ទ, ប្រដាប់បំពងសម្លេង </p-l><p-n>(Fr.)</p-n><p-l> @អូប៉ាល័រ </p-l> </li></ul>	noun
loudly	ˈlaʊdlɪ	ˈឡោដ៍លី	<ul><li><p-n>(adverb)</p-n><p-l> @យ៉ាងខ្លាំង</p-l></li></ul>	adverb
loudmouthed	laʊdˈmaʊθt	ឡៅដ៍ˈម៉ៅសថ៍	<ul><li><p-n>(adjective)</p-n><p-l> @មានសម្លេងខ្លាំង</p-l> </li></ul>	adjective
loudness	ˈlaʊdnɪs	ˈឡោដ៍និស	<ul><li><p-n>(noun)</p-n><p-l> @ភាពខ្លាំង</p-l></li></ul>	noun
lough	lɒklɒg	ឡកខ៍ឡក់ហ្ក៍	<ul><li><p-n>(noun)</p-n><p-l> @បឹង ឬដៃសមុទ្រ&nbsp;</p-l></li></ul>	noun
lounge	laʊndʒ	ឡកខ៍ឡក់ហ្ក៍	<ul><li><p-n>(intransitiv verb)</p-n>~ on the couch<p-l> @សណ្តូកខ្លួន</p-l><br/> ~ around<p-l> @ត្រែតត្រត&nbsp;</p-l></li><li>lounge <p-n>(noun)</p-n><ol><li><p-l> @ការកំសាន្ត </p-l></li><li><p-l> @បន្ទប់សំរាក</p-l><br/> public ~<p-l> @កន្លែងសម្រាប់អង្គុយលេង </p-l><br/></li><li>over stuffed ~<p-l> @សូហ្វាឬគ្រែទម្រេត </p-l><br/>departure ~<p-l> @បន្ទប់រង់ចាំដើម្បីចាកចេញដំណើរ (យន្តហោះ)</p-l> transit louge<p-l> @បន្ទប់រង់ចាំដើម្បីជើងយន្តហោះ </p-l> </li></ol></li></ul>	noun
lounge bar			<ul><li><p-n>(noun)</p-n><p-l> @បន្ទប់មានពន្លឺភ្លើងព្រឹមៗ សំរាប់ភ្ញៀវអង្គុយស្តាប់ភ្លេងនិងពិសារភេសជ្ជះមានជាតិស្រវឹង </p-l></li></ul>	noun
lounge-suit	ˈlaʊndʒsu:t	ˈឡៅនឌ្ស៍ស៊ូតថ៍	<ul><li><p-n>(noun)</p-n><p-l> @សំលៀកបំពាក់ (សំរាប់ទៅការិយាល័យ ឬពីធីបុណ្យផ្លូវការ)&nbsp;</p-l></li></ul>	noun
lounger	ˈlaʊndʒə(r)	ˈឡៅនដ្យឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកដេកព្រងើយ&nbsp;</p-l></li></ul>	noun
lour (also lower)	laʊə(r)	ឡៅអឺ(រ)	<ul><li><p-n>(intransitive verb)</p-n><p-l> @ធ្វើក្រញ៉ូវ&nbsp;</p-l></li></ul>	intransitive verb
louse	ˈlaʊs	ˈឡៅស៍	<ul><li><p-n>(noun)</p-n><p-n>(pl. lice)</p-n><p-l> @សត្វចៃ </p-l><br/><p-n>(Sl.)</p-n>He's a ~<p-l> @មនុស្សអាក្រក់ឬកំណាច់&nbsp;</p-l></li><li><p-n>(transitive verb)</p-n><p-n>(Sl.)</p-n><p-l> @ធ្វើអោយខូចការ, ខ្ជីខ្ជា, ខ្ជះខ្ជាយ, ធ្វេសប្រហែស, មិនជំនាញ </p-l> </li></ul>	noun
lousy	ˈlaʊzɪ	ˈឡៅហ្ស៊ី	<ul><li><p-n>(adjective)</p-n><p-n>(-ier,-iest)</p-n><ol><li>~ chicken<p-l> @ដែលមានចៃ ២. (Sl.) ~ day អាក្រក់&nbsp;</li></ol></p-l></li></ul>	adjective
lout	laʊt	ឡៅថ៍	<ul><li><p-n>(noun)</p-n><p-l> @មនុស្សច្រឡោះបោះ</p-l></li><li>loutist <p-n>(adjective)</p-n><p-l> @កំប្លែងច្រងេងច្រងាង, ឈ្លើយ, ច្រឡោះបោះ </p-l> </li></ul>	noun
loutist	ˈlaʊtɪʃ	ˈឡៅធីស្ហ៍	<ul><li><p-n>(adjective)</p-n><p-l> @កំប្លែងច្រងេងច្រងាង, ឈ្លើយ, ច្រឡោះបោះ </p-l> </li></ul>	adjective
louvre (also louver)	ˈlu:və(r)	ˈលូវ៉ឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @ការរាំរបាំ</p-l></li></ul>	noun
lovable (also loveable)	ˈlʌvəbl	ˈឡៅវ៉ឹបល	<ul><li><p-n>(adjective)</p-n><p-l> @គួរអោយស្រលាញ់</p-l></li></ul>	adjective
