acap kali	<p-n>adj</p-n> berulang kali; sering<br><div>Synonyms: <p-a>sering</p-a>, <p-a>seringkali</p-a></div>
acap-acap	<p-n>adv</p-n> <ol><li>kerap kali; sering kali<br></li><li>lekas-lekas; cepat-cepat<br></li></ol>
acapkan	<p-n>verb</p-n> bentuk transitif dari mengacapkan<div class="form_of">Form of: mengacapkan</div>
acapkanlah	<p-n>verb</p-n> bentuk imperatif dari acapkan<div class="form_of">Form of: acapkan</div>
acar	<p-n>noun</p-n> makanan bercuka dari irisan buah mentimun, wortel, bawang, cabai, nanas, bengkuang, atau daun sawi, biasa dimakan bersama nasi
acara	@acara-acara	<p-n>noun</p-n> <ol><li>hal atau pokok yang akan dibicarakan (dalam rapat, perundingan, dsb); agenda:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">acara kongres akan disusun oleh panitia khusus</div></div><br></li><li>hal atau pokok isi karangan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">untuk ujian mengarang disediakan empat acara</div></div><br></li><li>kegiatan yang dipertunjukkan, disiarkan, atau diperlombakan; programa (televisi, radio, dsb):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">acara televisi dan radio setiap hari dimuat dalam surat kabar</div></div><br></li><li>pemeriksaan dalam pengadilan; perkara:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">dia sedang menyaksikan acara di mahkamah tinggi</div></div><br></li><li><p-n>archaic</p-n> cara:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">setiap orang mempunyai acara berpikir yang berlainan</div></div><br></li></ol>
acara iklan	<p-n>noun</p-n> acara di televisi atau radio yang bersifat komersial, berupa penawaran barang atau jasa
acara niaga	<p-n>noun</p-n> acara iklan
acara rapat	<p-n>noun</p-n> hal yang akan dibicarakan dalam rapat
acara surat	<p-n>noun</p-n> pokok isi surat
acara tugas	<p-n>noun</p-n> daftar tugas yang disimpan oleh redaktur
acara-acara	@acara	<p-n>noun</p-n> bentuk jamak/plural dari acara<div class="form_of">Form of: plural</div>
acarakan	<p-n>verb</p-n> bentuk transitif dari mengacarakan<div class="form_of">Form of: mengacarakan</div>
acarakanlah	<p-n>verb</p-n> bentuk imperatif dari acarakan<div class="form_of">Form of: acarakan</div>
acaram	<p-n>noun</p-n> <ol><li><div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>cincin<br></li><li>tanda bahwa suatu perjanjian jual beli telah dibuat; tanda jadi<br></li></ol>
acaramu	<p-n>noun</p-n> bentuk posesif orang kedua dari acara; acara kamu/Anda<div class="form_of">Form of: kedua</div>
acatan	<p-n>noun</p-n> <p-n>no-gloss</p-n> 
acatan	<p-n>noun</p-n> bahan pakaian sisa penjualan yang panjangnya kurang dari satu meter yang dijual dengan harga lebih murah
acau	<p-n>verb</p-n> <ol><li>bentuk dasar dan imperatif dari mengacau<div class="form_of">Form of: mengacau</div><br></li><li>mengacau<br></li><li>mengacaukan<br></li><li>pengacau<br></li><li>pengacauan<br></li></ol>
acawi	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>tukang kayu
Aceh	<p-n>name</p-n> salah satu provinsi di Indonesia di bagian utara pulau Sumatra
acerang	<p-n>noun</p-n> tumbuhan, daunnya untuk obat; "Caleus amboinecus"
aci	<p-n>adj</p-n> sah; berlaku; jadi; benar
aci	<p-n>noun</p-n> <ol><li>pati; tepung<br></li><li><p-n>alt-of</p-n> variasi dari kata acik<br></li></ol>
aci sagu	<p-n>noun</p-n> pati sagu
acik	<p-n>noun</p-n> <p-n>archaic</p-n> panggilan untuk perempuan yang lebih tua, seperti kakak perempuan; bibi
acikan	<p-n>verb</p-n> bentuk transitif dari mengacikan<div class="form_of">Form of: mengacikan</div>
acikanlah	<p-n>verb</p-n> bentuk imperatif dari acikan<div class="form_of">Form of: acikan</div>
acintia	<p-n>adj</p-n> <p-n>no-gloss</p-n> 
acintia	<p-n>adj</p-n> gaib; tidak terpikirkan (tentang sifat ilahiah)<div class="tags"><b>Balinese Hinduism</b></div>
aco	<p-n>noun</p-n> kakek buyut
aco-acoan	<p-n>adj</p-n> acoan
acoan	<p-n>noun</p-n> <p-n>no-gloss</p-n> 
acoan	<p-n>adj</p-n> sembrono; ugal-ugalan; serampangan
acuan	<p-n>noun</p-n> cetakan (kue, peluru, dsb)
acuan cetak	<p-n>noun</p-n> bingkai atau pelat berisi teks dan/atau gambar yang akan dicetakkan pada bahan cetak<div class="tags"><b>printing</b></div>
acuan sepatu	<p-n>noun</p-n> alat untuk mengukur bentuk sepatu
acuh	<p-n>verb</p-n> peduli; mengindahkan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia tidak acuh akan larangan orang tuanya</div></div>
acuh tak acuh	<p-n>noun</p-n> tidak menaruh perhatian; tidak mau tahu
acuhan	<p-n>noun</p-n> hal yang diindahkan; hal yang menarik minat
acuhkan	<p-n>verb</p-n> bentuk transitif dari mengacuhkan<div class="form_of">Form of: mengacuhkan</div>
acuhkanlah	<p-n>verb</p-n> bentuk imperatif dari acuhkan<div class="form_of">Form of: acuhkan</div>
acukan	<p-n>verb</p-n> bentuk transitif dari mengacukan<div class="form_of">Form of: mengacukan</div>
acukanlah	<p-n>verb</p-n> bentuk imperatif dari acukan<div class="form_of">Form of: acukan</div>
acum	<p-n>verb</p-n> <ol><li>bentuk dasar dan imperatif dari mengacum<div class="form_of">Form of: mengacum</div><br></li><li>mengacum<br></li><li>acuman<br></li><li>pengacum<br></li></ol>
acuman	<p-n>noun</p-n> <ol><li>hasutan<br></li><li>tantangan<br></li></ol>
acungkan	<p-n>verb</p-n> bentuk transitif dari mengacungkan<div class="form_of">Form of: mengacungkan</div>
acungkanlah	<p-n>verb</p-n> bentuk imperatif dari acungkan<div class="form_of">Form of: acungkan</div>
ad interim	<p-n>adj</p-n> untuk sementara waktu:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">selama berada di luar negeri, ia ditunjuk sebagai menteri ad interim</div></div>
ad libitum	<p-n>adj</p-n> seturut keinginan, sesuai dengan cita rasa (dl bersantap, berbusana, menata dekorasi, menata perlengkapan rumah, dsb)
ada	<p-n>verb</p-n> <ol><li>hadir; telah sedia:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia ada di sana</div></div><br></li><li>mempunyai:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia tidak ada uang</div></div><br></li><li>benar; sungguh (untuk menguatkan sebutan):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia ada menerima surat itu</div></div><br></li></ol>
ada-adanya	<p-n>adv</p-n> mana boleh; mungkinkah:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ada-adanya orang mati hidup lagi</div></div>
ada-adanyakah	<p-n>adv</p-n> ada-adanya
adab	<p-n>noun</p-n> kehalusan dan kebaikan budi pekerti; kesopanan; akhlak:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ayahnya terkenal sebagai orang yang tinggi adabnya</div></div>
adad	<p-n>noun</p-n> bilangan; jumlah
adagium	<p-n>noun</p-n> pepatah; peribahasa: artinya di mana ada masyarakat dan kehidupan di sana ada hukum (keadilan)<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Sebuah adagium Latin menyatakan "Ubi societas ibi justicia"</div></div>
adakala	<p-n>adv</p-n> kadang-kadang; sekali-sekali; sekali waktu:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Hidup ini adakala mengalami pasang naik, adakala mengalami pasang surut</div></div>
adakalanya	<p-n>particle</p-n> <ol><li>adakala<br></li><li>kadang-kadang<br></li></ol>
adakan	<p-n>verb</p-n> bentuk transitif dari mengadakan<div class="form_of">Form of: mengadakan</div>
adakanlah	<p-n>verb</p-n> bentuk imperatif dari adakan<div class="form_of">Form of: adakan</div>
adaks	<p-n>noun</p-n> antelop berbulu warna terang, hidup di Afrika Utara, Arab, dan Siria; "Addax nasomaculata"
adaktil	<p-n>adj</p-n> tidak mempunyai jari tangan atau jari kaki
adalah	<p-n>verb</p-n> <ol><li>identik dengan; sama dengan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pancasila adalah falsafah bangsa Indonesia.</div></div><br></li><li>sama maknanya dengan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Desember adalah bulan kedua belas.</div></div><br></li><li>termasuk dalam kelompok atau golongan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Saya adalah pengagum Ki Hajar Dewantara.</div></div><br></li><li>ada; terdapatlah:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pada zaman dahulu, adalah seorang raja yang baik hati.</div></div><br></li></ol><div>Synonyms: <p-a>merupakan</p-a>, <p-a>ialah</p-a></div><div>Antonyms: <p-a>bukan</p-a></div>
adalat	<p-n>noun</p-n> kebajikan; keadilan
adam	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>bumi; tanah:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Bermula segala peri yang suci menempati alam dan adam</div></div>
adang	@adang-adang	<p-n>noun</p-n> <ol><li>saudara tua dari ibu (biasanya wanita); kakak ibu<br></li><li>nama atau gelar kehormatan; dang<br></li></ol>
adang	<p-n>verb</p-n> <ol><li>bentuk dasar dan imperatif dari mengadang<div class="form_of">Form of: mengadang</div><br></li><li>mengadang<br></li><li>mengadangi<br></li><li>mengadangkan<br></li><li>adangan<br></li><li>pengadang<br></li><li>pengadangan<br></li><li>adang-adang<br></li></ol>
adang	<p-n>verb</p-n> menanak nasi dengan menggunakan dandang
adang-adang	<p-n>noun</p-n> penyekat, kerai, dsb untuk penahan angin (hujan, panas matahari, dsb)
adang-adang	<p-n>adv</p-n> <p-n>slang</p-n> kadang-kadang
adangkan	<p-n>verb</p-n> bentuk transitif dari mengadangkan<div class="form_of">Form of: mengadangkan</div>
adangkanlah	<p-n>verb</p-n> bentuk imperatif dari adangkan<div class="form_of">Form of: adangkan</div>
adanya	<p-n>noun</p-n> bentuk posesif orang ketiga dari ada; ada dia/orang tersebut<div class="form_of">Form of: ketiga</div>
adanya	<p-n>noun</p-n> <ol><li>keadaan; hal ada:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">adanya pertentangan paham itu menimbulkan kesukaran</div></div><br></li><li>demikianlah keadaannya:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">sekalian kaum keluarga selamat adanya</div></div><br></li></ol>
adanya	<p-n>noun</p-n> orangnya:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">dia juga adanya; belum diketahui juga siapa adanya</div></div>
adap-adapan	<p-n>noun</p-n> nasi kuning dari beras pulut (dihidangkan dalam perayaan dsb)
adaptabel	<p-n>adj</p-n> dapat menyesuaikan atau disesuaikan dengan kondisi dan keperluan tertentu
adaptabilitas	<p-n>noun</p-n> kemampuan beradaptasi:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Kaktus mempunyai adaptabilitas yang luas, yaitu dapat hidup di dataran rendah sampai dataran tinggi, termasuk daerah yang bersalju</div></div>
adaptasi	<p-n>noun</p-n> penyesuaian terhadap lingkungan, pekerjaan, dan pelajaran:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">adaptasi buku-buku roman asing itu perlu sekali untuk memudahkan penerimaan murid</div></div>
adaptasi cahaya	<p-n>noun</p-n> penyesuaian pupil mata terhadap cahaya yang meningkat, misal sehabis menonton film yang langsung mendapat cahaya terang<div class="tags"><b>medicine</b></div>
adaptasi kebudayaan	<p-n>noun</p-n> perubahan dalam unsur kebudayaan yang menyebabkan unsur itu dapat berfungsi lebih baik bagi manusia yang mendukungnya
adaptasi sosial	<p-n>noun</p-n> perubahan yang mengakibatkan seseorang dalam suatu kelompok sosial dapat hidup dan berfungsi lebih baik dalam lingkungannya
adaptasikan	<p-n>verb</p-n> bentuk transitif dari mengadaptasikan<div class="form_of">Form of: mengadaptasikan</div>
adaptasikanlah	<p-n>verb</p-n> bentuk imperatif dari adaptasikan<div class="form_of">Form of: adaptasikan</div>
adaptif	<p-n>adj</p-n> mudah menyesuaikan (diri) dengan keadaan
adaptometer	<p-n>noun</p-n> peranti untuk mengukur penyesuaian indra
adaptor	<p-n>noun</p-n> <ol><li>alat untuk menghubungkan dua bagian benda, misal yang berbeda diameternya<br></li><li>alat listrik yang memungkinkan sesuatu dapat dipakai untuk tujuan tertentu yang berbeda dari tujuan yang dirancang semula, misal alat yang mengubah arus bolak-balik menjadi arus searah untuk pemanfaatan listrik tertentu<br></li><li>alat yang dapat menyesuaikan jenis dan besar tegangan listrik untuk suatu alat lain<div class="tags"><b>physics</b></div><br></li><li>alat berbentuk tabung yang menyempit pada salah satu ujungnya dan dibengkokkan<div class="tags"><b>physics</b></div><br></li><li>alat atau peranti yang dipasang pada kamera sehingga kamera itu dapat dipakai untuk keperluan lain<div class="tags"><b>physics</b></div><br></li></ol>
adapun	<p-n>verb</p-n> walaupun ada<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ada pun, belum tentu ia mau memberi</div></div>
adar	<p-n>verb</p-n> <ol><li>bentuk dasar dan imperatif dari mengadar<div class="form_of">Form of: mengadar</div><br></li><li>mengadar<br></li></ol>
adar	<p-n>adj</p-n> sangat tua
adas	<p-n>noun</p-n> <ol><li>tumbuhan bergetah yang tingginya kira-kira 1,5 m, bijinya dijadikan minyak untuk obat; Foeniculum vulgare<br></li><li>tanaman serupa rempah<br></li></ol>
adas manis	<p-n>noun</p-n> tumbuhan palawija yang buahnya dipakai sebagai obat serta rasa dan baunya sedap; Pimpinella anisum
adat	<p-n>noun</p-n> <ol><li>aturan (perbuatan dsb) yang lazim diturut atau dilakukan sejak dahulu kala<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">menurut adat daerah ini, laki-lakilah yang berhak sebagai ahli waris</div></div><br></li><li>cara (kelakuan dsb) yang sudah menjadi kebiasaan; kebiasaan<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">demikianlah adatnya apabila ia marah; (pada) adatnya</div></div><br></li><li>wujud gagasan kebudayaan yang terdiri atas nilai-nilai budaya, norma, hukum, dan aturan yang satu dengan lainnya berkaitan menjadi suatu sistem<br></li><li><div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>cukai menurut peraturan yang berlaku (di pelabuhan dsb)<br></li></ol>
adat bilokal	<p-n>noun</p-n> pola menetap setelah menikah, untuk masa tertentu suami istri tinggal di sekitar pusat kediaman kerabat suami dan untuk masa tertentu pula harus tinggal di sekitar pusat kediaman kerabat istri<div class="tags"><b>anthropology</b></div>
adat huma	<p-n>noun</p-n> hukum adat mengenai masalah agraris
adat istiadat	<p-n>noun</p-n> [[]]
adat kebiasaan	<p-n>noun</p-n> [[]]<br><div>Synonyms: <p-a>kebiasaan</p-a></div>
adat kemenakan	<p-n>noun</p-n> ahli waris berdasarkan keturunan pihak ibu; adat matrilineal
adat matrilineal	<p-n>noun</p-n> adat kemenakan
adat matrilokal	<p-n>noun</p-n> pola menetap setelah menikah, suami istri tinggal di sekitar pusat kediaman kerabat istri
adat neolokal	<p-n>noun</p-n> pola menetap setelah menikah, suami istri memilih tempat di luar pusat kediaman kerabat suami atau kerabat istri
adat patrilokal	<p-n>noun</p-n> pola menetap setelah menikah, suami istri harus tinggal di sekitar pusat kediaman kerabat suami
adat pemaduan	<p-n>noun</p-n> denda adat yang harus dibayar oleh suami apabila mengambil istri kedua
adat pemali	<p-n>noun</p-n> denda adat yang harus dibayar karena melanggar pantangan
adat pembakaran mayat	<p-n>noun</p-n> adat perawatan jenazah dengan cara membakar jenazah itu
adat pembiaran mayat	<p-n>noun</p-n> adat perawatan jenazah dengan cara membiarkan jenazah itu di suatu tempat terpencil agar hancur sendiri di alam terbuka
adat pembuang	<p-n>noun</p-n> denda adat yang harus dibayar pada waktu terjadi perceraian
adati	<p-n>adj</p-n> bersifat adat; tradisional
adatkan	<p-n>verb</p-n> bentuk transitif dari mengadatkan<div class="form_of">Form of: mengadatkan</div>
adatkanlah	<p-n>verb</p-n> bentuk imperatif dari adatkan<div class="form_of">Form of: adatkan</div>
adatnya	<p-n>noun</p-n> bentuk posesif orang ketiga dari adat; adat dia/orang tersebut<div class="form_of">Form of: ketiga</div>
adegan	<p-n>noun</p-n> <ol><li>pemunculan tokoh baru atau pergantian susunan (layar) pada pertunjukan wayang<br></li><li>bagian babak dalam lakon (sandiwara film):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">beberapa adegan dalam film itu telah dipotong oleh bagian sensor</div></div><br></li></ol>
adegan kecil	<p-n>noun</p-n> adegan yang merupakan bagian dari adegan yang lebih besar<div class="tags"><b>arts</b></div>
adegan panas	<p-n>noun</p-n> adegan yang membangkitkan rangsangan berahi
adegan pengikat	<p-n>noun</p-n> adegan yang menimbulkan keingintahuan dan keterikatan penonton drama dsb (karena ceritanya belum atau tidak diungkapkan secara jelas)<div class="tags"><b>arts</b></div>
adegan terbuka	<p-n>noun</p-n> adegan yang diubah bentuknya dengan disaksikan langsung oleh penonton<div class="tags"><b>arts</b></div>
adegan wajib	<p-n>noun</p-n> adegan yang diharapkan terjadi (dilakonkan) sehingga sesuai dengan keinginan penonton<div class="tags"><b>arts</b></div>
adek	<p-n>noun</p-n> <p-n>alt-of</p-n> variasi dari kata adik
adeknya	<p-n>noun</p-n> bentuk posesif orang ketiga dari adek; adek dia/orang tersebut<div class="form_of">Form of: ketiga</div>
adekuat	<p-n>adj</p-n> memenuhi syarat; memadai; sama harkatnya
adem	<p-n>adj</p-n> <ol><li><p-n>slang</p-n> dingin; sejuk<br></li><li>tenteram (pikiran, hati); tenang<br></li><li>hambar (rasa makanan); tawar<br></li></ol>
adem ayem	<p-n>noun</p-n> sejuk dan tenang tenteram
adempauze	<p-n>noun</p-n> <p-n>archaic</p-n> Kesempatan untuk beristirahat.
adenda	<p-n>noun</p-n> <p-n>alt-of</p-n> variasi dari kata adendum
adendum	<p-n>noun</p-n> <ol><li>jilid tambahan (pada buku); lampiran<br></li><li>ketentuan atau pasal tambahan, misal dalam akta<br></li></ol>
adenoid	<p-n>noun</p-n> <ol><li>pertumbuhan mirip kelenjar pada tenggorok dan bagian belakang hidung<div class="tags"><b>medicine</b></div><br></li><li>pembesaran dan peradangan pada tenggorok dan bagian belakang hidung<br></li></ol>
