A	 pronounced a as in fat. 
-nemuka1 (nemukile)	v.i. to be bent due to heaviness. der. manemuka. syn. -nema. caw. -nemukisa (nemu-kisize) to bend: lWitai ya mango ya ka, i nemukisizwe ki ku bey ahahulu, the branches of my mango tree are bent by the fruit. int. -nemukelela (nemukelezi) to be extremely bent. 
-nemuka2 (nemukile)	v.i. to remove things in stages. syn. -nemeta. 
-nenaula or -nenauna (nenauzi)	v.t. to despise continually. der. mune- nauni syn. -nyefula. rel. -nenaunela (nenaunezi) to despise about something: Ku nenauneia mutu fa nama ya hae ku maswe, it it is bad to despise someone-because he re-fused to let you buy some of his meat. caus. -nenaunisa (nenauni-size) to provoke someone's con- tempt. 
-nenekeza (nenekelke)	v.i. & v.t. (1) to restrain one's language; (2) to give parsimoniously. 
-nengaX (nengiie)	v.t. (1) to try to find out a matter privately (2) to betray. der. munengi kanenga. syn. beteka. rel. -nengela (nengezi) to have bad designs against. c us. -nengisa (nengisize) to provoke be-trayal. int. -nengeleb (nengelezi) to persevere in having bad designs against someone. red. -nenga-nenp.(neng-nengile) to try to detect. 
-neng 2 (nengile)	v.i. Luyana. to dance (any kind of dance). 
nengelelo (bo-)	n. Pied Kingfisher. syn. mutangalati sakacompole. 
-nenola or -nenona (nenozl)	v.t. as -nenona. 
-nenumuka (nenumukile)	v.i. to slip der. munenene. 
-nepa (nepile)	v.t. (1) to hit on the right a–swer; (2) to throw (spear or stone) (3) to ejaculate. der. b munepi nepo syn. -posa. rel. nepela (nepezi) to throw to: U Enepezi tipa mwa mezi, he threw a knife into the water. fig. exp. ku nepela mutu linguli, to speak to someone in parables. caus. -nepisa (nepisize) to make a person be right or find the right answers Int.stat. -nepahala (nepahalile) to be all correct (answers). int. -nepe-Ida (nepelezi) to find all the cor-rect answers. rec. -enpana (nepani f - or nepanile) to throw at each other. freq. -nepanga to usually find the tcorrect answers. red. -nepa-nepa (nepa-nepile) to play by throwing things again and again. ref. -inepela (inepezi) as rec. - .. 
nepo (li-)	n. pass mark: A lu sika fumana kale linepo za luna, we have not yet received the examination results. 
nete (li-)	n. Iarge field; reeds in a marshy place. 
-netemana (netemani or netemanile)	vi.i. (1) to be concave (speaking of a wall of a place etc. etc.); (2) to be almost sinking: Mu longile hahulu mane mukolo wa mina so ne-temani, your canoe is almost sink-ing for you loaded it too much. der. sineta. caus. -netemanisa (nete-manisize) to cause to be concave-to cause a canoe to be in danger of sinking by loading it too much. 
Newa	n. one of the Litunga's yards. 
-nga (ngile)	v.t. to take to fetch idiom. exp. ku ngEwa ki Nyambe to die a natural death; ku nga nak—, to last. der. mungi, mungelo, singelo. rel. -ngela (ngezi) to take for some-one, to take with a certain inten tion: So ngezi likubo za mutu yo ki sika ma–i? why have you taken that person's blankets? caus. -ngisa (ngisize) to order, to help to tŒke. stat. -ngeha (ngehile) to be under the charm of something or some-body: Ni ngehile hahulu ka sifateho sa hao sesinde, I am under the charm of your lovely complexion. int. -ngelela (ngelezi) to take the whole lot. rec. -ngana (ngani or nganile) to agree mutually to live in concubinage. freq. -ngaga to keep on taking. red. -nga-nga (nga-ngile) to take every now and then. ref. -Ikungela (ikungezi) to take for oneself, to appropriate a thing for oneself. 
nga-nga-nga !	interj. expressing a feeling of cold, of fear, etc. U sabi-sizwe ki noha yetuna, mane wa ngangama u li nga-nga-nga, he has been frightened by a big snake, that is why he is trembling all over. 
ngala1 (li-)	n. crest: Liowanyi li na ni ngala yende ku ze–wi kaufela, the most beautiful crest of all is that of the crested-crane. 
ngala2,	n. the middle of a river, of a lake (where water is deep)- Mu kandulele mukolo mwa ngala, push off the canoe into the deep water. 
-ngalaela (ngalaezi)	v.i. to walk in an open place in order to be seen. der. Iingalaela, lingalaelelo. 
ngalalela, 	n. place of shallow water. ngalamena, noun take adverbially: backwards; ku wa ngalamena, to fall backwards; ku tapa ngalamena, to swim on the back; ku shwa ngala-mena, to die Iying on one's back. 
ngalangala (li-)	n. tuft at the end of a reed or a maize stock- feather head-dress. 
ngalanganja (li-)	n. tattoo around the eye. 
-ngaleka1 (ngalekile)	v.t. to let a canoe go on a rock, or run aground caus. -ngalekisa (ngaleki-sue) to cause to ~ freq -nple- kanga or-ngalateka (npitekib) to let a canoe go on rocks again and again 
-ngaleka2 (ng lekile)	v.t. to take a canoe to the middle of a river where it is dangerous fg to speak for the first time about an impor-tant matter, to make an avowal of love (man), to take for the first time difficult matters to an impor-tant person c us -ng lekisa (nga-lekisize) to take a canoe to the middle of a river for a certain reason ref -inpleka (ingalekile) fig to present thoughtlessly one's matters to important people; to at-tempt to carry a load too heavy for oneself U ingalekile mutiyo wa sa koni ku lwala, he tried to carry a load far too heavy for him 
-ngaluka (nplukile)	v.i. to be dishe-velled fig to be covered with a promising crop 
-ngaluka2 (ngalukile)	v.i. to appear proudly somewhere in order to be seen Mwa mu bona muikumusi yani, a sa li ku ngaluka mwa hali a batu! look at that arrogant chap there, standing with pride in the public der. mung bko syn. -nga-tuka rel. -ngalukela (ngalukezi) to appear proudly in public with a cenain intention caus. -nplukis (ngalukisize) to cause to appear in public in order to be seen 
ngaluko,	n. manner of beating someone down (when wrestling); ku wa ngaluko, to fall on one's back 
ngambanga (lii-)	n. habit of speaking too much, of saying anything that comes to mind 
Ngambela (li-)	n. Litunga's Prime Minister syn. Sope, Minyolui, Muswa 
ngambob (li-)	n. conversation, chat (from -ambola) 
ngamboto (li-) 	n. a matter of common knowledge, a matter known everywhere and talked about by everybody 
ngambu!	interj. stop! finished! ku nata mutu ngambu, to fell someone; ku bulela ngambu, to speak in such a manner that answers or com- ments are impossible 
ngambwamuke (bo-)	n. Knob-billed Duck 
ngana (lil-)	n. intelligence, mind, wisdom, sense, common sense syn. mano 
nganda (ngandlle)	v.t. to throw to the ground (when wrestling) freq -ngand ka (ngandakile) to throw to the ground again and again 
nganda2 (ngandile)	v.t. to stamp a small quantity of bran syn. -ndun- dula rel. -ngandeb (ngandezi) to ~ for someone caus. -ngandisa (ngandisize) to help to ~ red -nganda-nganda (ng nda-ngandile) to ~ intermittently ref -inpndeb (ingandezi) to ~ for oneself 
-ngandaela (ngandaezi)	v.i. to walk about openly when it would be better not to do so Muloi u sezwi sa ngandaela Sela, the sunrise has taken the sorcerer by surprise, and so he is revealed for what he is rel. -ngandaelela (ng ndaelezi) to walk openly in a certain direction c us -ngandaelisa (ngandaelisize) to cause to walk openly, to carry openly a thing which should be hidden U. sike wa ngandaelisa ka-sunso kao u ka pate hande, do not walk showing that meat to all and sundry, hide it ng 
ngandaleza, noun taken adverbi-ally, in public llfu sike mwa siya li- byana ngandaleza, mu li kenye mwa ndu, do not leave these things in public, take them into the house -ngandamana (ngandamani or ngan- damanile)	v.i. to be without cover to walk without a hat der. singan-damani 
ngandameka (ngandamekile)	v.t. to put, to leave something in the open 
-ngandana1 (ngandani or ngandanile)	v.i. to work hard, to be active doing many things at a time 
-ngandana2 (ngandani or ngandanile)	v.i. to move about (as a child) rel. -ngandanela (ngandanezi) to move about somewhere U sike wa ngan-danelafa mubili wa bo maho, do not bother your mother rolling around her all the time c us -ngandanisa (ngandanisize) to cause to writhe; to cause to roll about Mwananayo se si mu ngandanisa cwana ki tabo, that child is rolling around like that because he is happy 
-ngandinga (ngandingile)	v.i. to be impudent, insolent, impeninent syn. -tapala 
-ngandoka (ngandokile)	v.i. to fall continually (as a child learning to walk or as drunk person) 
ngandu (li-)	n. Luyana crocodile fig a greedy, stingy person syn. kwena 
-ngandumuka (ngandumukile)	v.i. to fall heavily 
-ngandumuna (ngandumuzi)	v.t. to throw to the ground (in wrestling), to knock someone down syn. -npnda 
nganga (li-)	n. charm used on a fishing net 
nganga2 (li-)	n. Luyana medicine man, African doctor (from -banga) 
-nganga3 (ngangile)	v.t. to build, to do any wood work (carpentry, joinery, etc ) der. mungangi, bung- angl, singangiso syn. -panga cf -yaha rel. -ngangela (ngangezi) to build for someone. caus. -ngangisa (ngangisize) to help to build. red. -nganga-nganga (nganga-ngangile) to build incompletely. ref. -ingang-ela (ingangezi) to build for oneself. 
-ngangama (ngangamile) 	v.i. to shiver, to tremble, to shake, to shudder (from fear, cold or anger). der. mungangami, ilungangami. syn. -tutuma, -njanja, cf. -mbwembweta. rel. -ngangamela (ngangamezi) to tremble for: Ba ngangamela litapi ze ba sa bonangi, they are shaking with excitement on seeing some fish, as they haven't had any for a long time. caus. -ngangamisa (ngangamisize) to cause to shiver. rec. -ngangamelana (ngangamelani) to be trembling with fury (speak-ing of two people on the point of fighting). freq. -ngangamanga to have the habit of trembling, of shivering. 
-ngangamana (ngangamani or ngangamanile)	v.i. to be perplexed, to be distressed. der. singanyenga-nye. syn. -ziyeleha. caus. -nganga- manis (ngangamanisize) to put in a difficult position, to embarrass; to keep waiting: Mutu yo sa ni ngangamanisizefela, a sa li ku ngela mukolo wa ka kale, ha u kutisi, this man has kept me waiting unduly since he took my canoe has not brought it back. 
-ngangameka (ngangamekile)	v.t. to entrust someone with duties which are above his strength or ability. syn. -ngulumeka. ref. -ingangameka (ingangamekile) to undertake something which is above one's power. 
-ngangameza (ngangamelize)	v.t. to swallow, liquid food speedily. 
ngangano (li-) 	n. hard competition, a match often leading to fighting. (from -kangana). 
-ngangatela (ngangatezi)	v.i. to become hard (speaking of the soil where cattle have been treading a lot during the rainy season. syn. -mbambatela. caus. -ngangateza (ngangatelize) to harden the soil in the way mentioned above 
-ngangauka (ngangaukile)	v.i. to speak angrily with a loud voice syn. -kangauka. caus. -ngangaukisa (ngangaukisize) to cause someone to use abusive language 
ngangila	n. state of standing with-out moving. 
-nganguka (nganukile) 	v.i. to stand straight up; to be properly erected (building). 
-ngangula (nganguzi)	v.t. to build. der. ngangula. syn. -yahs. rei. -ngangulela (ngangulezi) to build for someone. caus. -nganguiiss (ngang-ulisize) to help to build. ref. -ing-angulela (ingangulezi) to build for oneself. 
ngangula (bo-)	n. a skilful car-penter. (from -ngangula). 
-nganja (li-)	n. earthen cup. idiom. exp. Lu isweli nganja kacenu! we are drinking today! cf. mukope. 
-nganguta (ngangukile)	v.i. to be ex-ceedingly joyful showing one's joy in public. der. mungatuko. cf. -nga-luka. caus. -ngatukisa (ngatukisize) to cause to rejoice publicly 
-ngayana (ngayani or ngayanile)	v.i. to jabber to speak incoherently. (often used when speaking of a dying person) der. mungayani. syn. -yahana -wayana -yambutuka. rel. -ngayanela (ngayanezi) to go and jabber somewhere: Zwa fa, u yo ngayanela koo, get out go and jabber somewhere else caus. -ngayanisa 
ngayanisize) to cause to talk non sense: Ki buswala bo nwile bo bu	ku. ngayanisa cwalo kapa cwa–i? is it the beer you drank that is making you talk nonsense like this or what? red. -ngayana-ngayana (ngayana-ngayani) to speak inco-herently 
ngazi	n. blood cf. mali. 
ngele (li-) 	n. the seventh cervical vertebra (protuberant) fig. greedi-ness: Wena u na ni gnele hahulu, how terribly greedy you are! cf. noci. 
ngele2!	inter;. of impatience or irri-tation: Ngele! zazi ni ka ku utwa hape u bulela cwalo, ki peto u shwile, damn you! next time I hear you speak like that I ll kill you! 
-ngemuna (ngemuzi)	v.t. to explain something in a convincing manner. cf. -nepa. 
-ngemuna2 (ngemuzi)	v.t. to buy at the store and pay cash. cf. -leka. 
ngenda (li- or bo-)	n. Luyana. a visi-tor guest stranger. (from -enda) 
-ngendenga (ngendengile)	v.t. to work hard. 
-ngenyuka (ngenyukile)	v.i. to go downhill to descend speedily. der. mungenyuko cf. -shetumuka -ndandumuka. fig. to be cross to get very angry to lose one's temper rel. -ngenyukela (ngenyukezi) to descend somewhere; fig. to be angry with someone. caus. -nge-nyukisa (ngenyukisize) or -nge-nyuna (ngenyuzi) to cause to de-scend speedily; fig. to provoke someone's anger. int. -ngenyuke-lela (ngenyukekezi) fig. to comple-tely lose one's temper. ref. -inge- nyukisa (ingenyukisize) fig. to allow oneself to lose one's temper: U. sike wa ingenyukisafa litaba za li-nolwani, do not lose your temper over trifling matters. 
-ngetanga (ngetangiie)	v.t. to do a work that exceeds one's strength; to participate in work being done by insufficient numbers; to work slowly. caus. -ngetangisa (ngetangi-size) to help someone to do a work which exceeds his strength. 
ngete (bo-)	n. so-and-so somebody a certain person. syn. mukete. 
ngete-ngete (bo-)	n. as above. 
ngeti (li-)	n. mole. fi8. (1) detective; (2) a person with protruding upper teeth. syn. silufukwe. 
ngilasi (li- or ma-)	n. Eng. a glass glass pane; spectacles. 
ngili (li-)	n. wanhog. fig. a person with protruding upper teeth. 
-ngilimana (ngilimani or ngilimanile) see	-ngwilimana. 
Ngilisimasi	n. Eng. Christmas. 
-ngituka (ngitukile)	v.i. see -gintuka. 
ngo (li-)	n. (1) nose; lingo nostrils; ngo ya kulube. snout. (2) end; ngo ya lilundu, the bottom of a hill; ngo ya musindi, the end of a valley; ngo ya silabo, the upper end of a paddle. 
ngolobani (li- or ma-) 	n. wheelbar-row; pram. -ngolongonda. (ngolongondile) v.i. see -ngulungunda. 
-ngolomana (ngolomani)	v.i. see -ngulumana. 
ngoma	(li-)n. Luyana. drum of any kind; by ext: dance with drums. 
ngoma2 (li-)	n. Iarge mukwa tree roots (the point where they are at- tached to the trunk.) 
ngoma-ya-linosi (li-)	n. beehive. 
ngomalume (li-)	n. Luyana a tradi-tional dance for men only; new moon dance. 
ngomba (li-)	n. Luyana. drummer. syn. mulizi mumbeti. 
ngombe (ti-)	n. Luyana. cattle. syn. komu. 
ngombelulongo (bo-)	n. Luyana. a fair righteous person. 
ngombefungwa	n. Luyana. cattle tied up to poles (where there is no kraal). 
ngombemongo,	adv. Luyana. back-wards. 
ngombo (li-)	n. divining basket. cf. taula, mutungu. 
-ngomeka (ngomekile)	v.t. to delay someone by talking too much: U sike wa ni ngotneka, ni ya kwahule, do not delay me by talking too much, for I have a long way to go. syn. -ngotomeka rel. -ngomekela (ngomekezi) to explain everything at great length to someone. caus. -ngomekisa (ngomekisize) to cause to talk at length to someone. int. -ngomekelela (ngomekelezi) to ex-plain everything at great length to someone ref. -ingomeka (ingome-kile) to explain at length to some-one. ref. -ingomeka (ingomekile) to explain at length important mat-ters to each other. 
ngondo, noun taken averbially: for a long time: A sa li ku ya	ngondo. he has been away for a long time (from -ngondoka). 
-ngondoka (ngondokile)	v.i. to be absent for a long time. rel. -ngon- dekela (ngondokezi) to go and stay away for a long time. caus. -ngon-dokisa (ngondokisize) to cause someone to ~. int. -ngondokelela (ngondokelezi) to go for good. 
-ngondola (ngondozi)	v.i. to ring, to sound, to toll (speaking of a bell). syn. -lila. rel. -ngondolela (ngondo-lezi) to ring on account of: Mu-langu, o. so ngondolela cwana ku tahile lifu naa? why is the bell ring-ing for so long, is there a funeral? caus. -ngondolisa (ngondolisize) to cause to ring. 
ngonga (li-)	n. African Hawk Eagle. syn. mbande. 
-ngongaela (ngongaezi)	v.i. to walk slowly with nonchalance with apathy. rel. -ngongaelela (ngongae-lezi) to walk somewhere noncha- lantly. caus. -ngongaelisa (ngongae-lisize) to cause to ~. 
ngongi (li-)	n. African Gong (pro-ducing two different sounds) used in the past by headmen to assem-ble people for public works or war. fig. Ieader: Ha ku yoliswa Ngambela, kamita ufiwanga ngongi, ku bonisa kuli ki yena ngongi ya sicaba, whenever a Ngambela is appointed to his office he is given a gong as a token of his leadership. 
ngongo (li-)	n. articulation (anat.) ngongo ya lizoho, wrist ngongo ya lihutu, ankle. 
ngongola1 (li-)	n. woodpecker. (from -ngongola). 
ngongola2 (li-)	n. black mamba (from -ngongola). 
-ngongola3 (ngongozi)	v.t. to strike to beat to hit der. ngongola. syn. -nata -ngotola. rel. -ngongolela (ngongolezi) to ~ for someone caus. -ngongolisa (ngongolisize) to cause someone to be beaten to help someone to beat. freq. -ngongaula (ngongauzi) to ~ re- peatedly. rec. -ngongaulana (ngong-aulani) to strike each other repeat-edly. ref. -ingongola (ingongozi) to hit oneself. 
ngongolo (li- or ma-)	n. empty tin (between solik and slik). 
-ngongota (ngongotile)	v.t. to knock at the door: Ni utwa mutu ya ngong-otafa sikwulo, I can hear someone knocking at the door. syn. -kokota. fig. to go and report at an oEce syn. -ma–ala. rel. -ngongotela (ngongotezi) to knock at some-one's door. fig. to report to some-one. caus. gongotisa (ngongotisize) to knock for a reason at someone's door. fig. to cause to report. freq. - ngongotanga to have the habit of. knocking fig. to report habitually 
-ngongotela (ngongotezi) vt (1) to hammer to nail; to build	syn. -ko- kotela; (2) to crucify rel. -ngongo-telela (ngongotelezi) to build for someone. caus. -ngongotelisa (ngongotelisize) to order; to help to build. int. -ngongotelelela (ngongotelelezi) to complete a building work ref. -ingongotelela (ingongotelezi) to put up a build-ing by one's own efforts. 
-ngongweka (ngongwekile) 	v.t. to delay by talking too much. der. lingongwe. ref. -ingongweka (ing-ongwekile) to delay each other by endless talking: Batu bani ba sa li ku ingongwekafani ni he lu ba biza ha ba utwi! those people cannot hear us for they are engaged in an endless conversation! 
-ngongwela (ngongwezi)	v.t. to hold tightly syn. -swala. 
ngongjo	n. detour. (from -ngonjo-loka). syn. mupotoloho. 
-ngonjoloka (ngonjolokile)	v.i. to go round to make a detour. der. ngonjo. syn. -potoloha. fig. to di-gress from one's subject. caus. -ngonjolokisa (ngonjokkisize) fig. to cause to digress from one's sub-ject: Wena se si ku ngonjolokisa taba u nzo i ziba ki–i? what makes you digress from the subject when you know it so well? 
ngopili!	interj. wait (orig. ngo pili the nose first): Ngopili, nif te! wait let me go first! 
-ngosoha (ngoshize)	v.t. to sew tightly; to twist a rope tightly. 
-ngotola (ngotozi) vt to strike to beat to	hit. syn. -nata -ngongola. fg. to have sexual intercouse once with a person (once ever or once during the night). freq. -ngotauh (ngotauzi) to beat to strike repeat- edly: Ki ma–i ya sweli ku ngotaula kwani? who is cutting trees over there? ref. -ingotola (ingotozi) to hit oneself. 
-ngotomeka (ngotomekile)	v.i. (1) to adjure: U. sike wa ngotomeka mutu ka litaba za buhata, do not try to convince someone with lies. (2) to delay someone in talking too much. syn. -ngongweka. -ngomeka cf. -sondomeka. rel. -ngotomekela (ngotomekezi) to explain matters at length to someone. caus. -ngoto-mekisa (ngotomekbize) to cause to talk at length to someone. ref. -ing-otomeka (ingotomekile) to explain at length important matters to each other. 
ngoweka (ngowekile)	v.t. as -ngong-weka. 
ngu (li-)	n. sheep. fig. a good harm-less person. cf. ngombelulongo. -nguba (ngubile) v.t. as -kuba. 
ngui or ngwiwi (li-)	n. Glossy Ibis. 
ngula (li-)	n. see kula. 
ngulawela (li-)	n. shaved nape. fig. ngulawelaya lishewa, shaved nape like the unfeathered nape of a black Whydah (bird.). 
-nguleka (ngulekile)	v.t. to stab to spear (mostly big fish; crocodile or wild animal): A kutumana sina kwena ye ngulekilwe ka muwayo, he remained quiet like a crocodile which has been stabbed with a fishing-spear. syn. -taba. rel. -ngu-lekela (ngulekezi) to stab for a reason. ref. -inguleka (ingulekile) to stab oneself accidentally when fishing 
nguli (li-)	n. parable comparison: nguli ya mwanta litaswa, the para- ble of the prodigal son. 
ngulu1 (li-)	n. sweet potato. syn. sim-bukuma. 
Ngulu2	n. original name of the Bulozi Valley. 
-ngulumana1 (ngulumani or ngulums-nile)	v.i. to be empty fig. (1) to be empty headed. (2) to sit aimlessly among others. 
-ngulumana2 (ngulumani or nguluma-nile)	v.i. see -ngwilimana, -windi- mana. 
-ngulumeka (ngulumekile)	v.t. (1) to give someone work greater than his strength: Ba mu ngulumekile musebezi wa sa koni, they gave him work which he is unable to do. (2) to use great means to perform a small work: Ba ngulumekile piza yetuna fa liso, mi ki tulaisi totunyi-nyani to tu bila mwate–i, they have put a large pot on the fire yet there is just a little bit of rice boiling in it. cf. -ngangameka. ref. -inguh-meka (ngulumekik) to undefake work too great for one's strength. 
-ngulunda (ngulundile)	v.i. (1) to dis-obey orders- (2) to live in a way which shows a strong desire for di-vorce (woman). syn. -mbalanda. der. Iingulunde, bungulunde. caus. -ngulundisa (ngulundisize) to incite someone to disobey. 
-ngulundisa (ngulundisize)	v.t. to nuin or to damage a tool in using it improperly: Silepe sa ka ba si ngu-lundisize hahulu, they have badly blunted my axe. 
-ngulungela (ngulungezi) 	v.t. to cheat. dEr. simangulungwa, mungu- lungeli. syn. -puma, caus. -ngulung-isa (ngulungisize) to cause to cheat or to be impolite. rec. -ngulunge-bna (ngulungelani) to cheat each other. 
-ngulungunda1 (ngulungundlle)	v.i. (1) to feel one's way with the hand,.to grope, to poke about (chiefly in search of food): Ki ma–i ya ngu-lungunda mwa ndu? who is poking about in the house looking for food? (2) to be alone in a large house which has very little furni-ture: Nduya ka kiyetuna haXulu, ha ni ngulungunda mwate–i inge kapeba, my house is very large-when I am alone in it, I feel like a little mouse. cf. -pupuleza. caus. -ngulungundisa (ngulungundisize) to cause to grope, to poke about. 
-ngulungunda2 (ngulungundile) 	v.i. to thunder. rel. -ngulungundela (ngu-lungundezi) to thunder at a certain distance: Mwa utwa, pula ye se ÁI'o ngulungundela kwahule, ha i sana ku nela, it is now thundering miles away, so there will be no rain. 
ngulungundu !	idioph. imitation of the sound made by a person or an object falling to the ground cf. Iukutu ! 
-ngulutisa (ngulutisize)	v.t. as -ngu-lundisa. 
-ngulya (ngulyile)	v.t. to swallow. syn. -miza. 
-ngulyana (ngulyani) 	v.i. to be un-certain, to hesitate. caus. -ngulya-nisa (ngulyanisize) to cause hesita-tion. ref. -ingulyanisa (ingulyani-size) to become irresolute. 
-ngulyana2 (ngulyani)	v.i. to wander about, to tramp. rel. -ngulyanela (ngulyanezi) to ~ in a certain place. syn. -shekaela. caus. -ngulya-nisa (ngulyanisize) to cause to ~ red. -ngulyana-ngulyana (ngulyana-ngulyani) to be without a fixed abode. 
-ngulya-ngulya (ngulya-ngulyile)	v.i. as -ngulyana.2 
-ngumaela (ngumaezi)	v.i. to walk alone (a sick or an old person). syn. -ngunyaela. 
-ngumana (ngumani)	v.i. to sit alone, silently. der. mungumani. (see -ungumana). 
-ngumbwama (ngumbwami)	v.i. to disappear (see -ngumbwikela). 
ngumbwi!	inter;. used for a thing disappearing suddenly (like the sun behind clouds or an object irs water). syn. ndumbwi! tupwi! 
-ngumbwikela (ngumbwikezi)	v.i. to disappear (behind the clouds or in water): Lizazi se li ndumbwikezi mwa malu, the sun has just disap- peared behind the clouds; komoki i ndutwikezi mwa mezi, the cup dis-appeared under the water syn.-ngumbwama, -tupwikela. caus. -ngumbwikeza (ngumbwikelize) to cause to disappear. int. -ngumbwi- kelela (ngumbwikelezi) to disap-pear completely. 
-ngumbyauka (ngumbyaukile)	v.i. to be agitated (like a liquid in a bucket carried by someone). 
-ngumuka (ngumukile) 	v.i. to doze, to nod. syn. -ozela. freq. -ngumauka (ngumaukile) or-ngumoka (ngumo-kile) to be overcome by sleep. caus. -ngumaukisa ( ngumaukisize ) or -ngumokisa (ngumokisize) to cause slumbering. ref. -ingumau-kisa or -bgumokisa (ingumauki-size) to pretend to fall asleep: Mutu yo ha ozeli, u ingumokisafela, wa utwa ze lu bulela, this man is not asleep, he is only pretending to be, and he hears what we say. 
-ngumuka2 or -nguumuka (nguumu-kile)	v.i. to become dispersed. (as- ndumuka). 
-ngunda (ngundile)	v.t. to hem; to sew the edge of a mat, the rim of a basket, (etc.) der. mungundi, mung-undo. rel. -ngundela (ngundezi) to ~ for someone. caus. -ngundisa (ngundisize) to help someone to ~. int. -ngundelela (ngundelezi) to ~ completely, to ~ to the end. ref. -ingundela (ingundezi) to ~ for one-self: Ki na ya ingundezi museme wa ka, hakuna ya ni ngundisize ona, I sewed the edge of my mat myself without anyone's help. 
-ngunda2 (ngundile)	v.t. to walk about; to search. der. Iingundamu- kulo, mungunda. caus. -ngundisa (ngundisize) to cause to ~. rec. -ngundana (ngundani or ngundanile) to walk to and fro (as a guard). red. -ngunda-ngunda ( ngunda-ngundile) to walk about nearby. 
ngundu (bo-)	n. someone who be-littles himself: Ku bulele ba ba bulela insi–i luna bo ngundu, let those involved in the matter speak and not we poor creatures (and not the likes of us). 
ngundula (ngunduzi)	v.i. to walk from one place to another: sitong- wani si lata hahulu ku ngundula mwa minzi busihu, the hyena is very fond of walking from one village to another at night. der. namung- und ve, cf. -ndunduya. rel. -ngundu-lela (ngundulezi) to walk towards. c us. -ngundulisa (ngundulisize) to cause to walk from one place to another. 
-ngundumana (ngundumani or ngun-dumanile)	v.i. to sleep. syn. -lobala. caus. -ngundumanisa (ngundumani-size) to caus ﾍ to sleep. ref. -ingun-dumanisa (ingundumanisize) or -ingundumeka (ingundumekile) to pretend to fall asleep. syn. -ingu-mokisa. 
-ngundunganya (ngundunganyize)	v.t. (1) to bring trouble to. to dis- turb: Yela banana, mu sike mwa ngundunganya likomu, hey! chil-dren do not disturb the cattle! (2) to upset people, to cause trouble or discord: U lu Sumani lu pila hande, cwale wena ha uf tile u tilio lu ngundunganya, we were living peacefully until you came, and caused discord amongst us. der. mungundungundu. syn. -Tllikanya, cf. -kataza. 
ngunga (li-)	n. Iarge gander. 
-ngunga2 (ngungile)	v.t. to cheat, to cheat in order to steal. der. iling-unga, mungungi, lingunga, syn. -puma. 
-ngungana (ngungani or ngunganile) 	v.l. to be pressed, tightened, squeezed together. caus. -ngunga-nisa (ngunganisize) to cause to be squeezed together. 
-ngunganya (ngunganyize) 	v.t. to join, to connect; to press, to tighten, to squeeze. syn. -ngung-eka, cf. -kopanya. rel. -ngunga- nyeza (ngunganyelize) to ~ for someone. caus. -ngunganyisa (ngunganyisize) to cause to ~. int. -ngunganyeleza (ngunganyelelize) to join tightly together. ref. -ing-unganyeza (ingunganyelize) to ~ for oneself: Ki na ya ingunganyelize taSuleye, I joined my table together by myself. 
-ngungeka (ngungekile)	v.t. as -ngunganya. 
-ngungula (ngunguzi)	v.t. (1) to elbow, to jostle. (2). to knock a canoe with a paddle when pad-dling. syn. -kuba, -nguba. rel. -ngungulela (ngungulezi) to jostle purposely: So ni ngungulela k’– i? why are you elbowing me? caus. -ngungulisa (ngungulisize) to cause to ~. req. -ngungaula (ngungauzi) to jostle obstinately; to show stub-bornness, obstinacy. der. mungung-auleni. rec. -ngungaulana (ngungau-lani) to jostle each other; to knee each other: Banana kamita ba ngungaulana hahulu ha ba bona kuli lico lifakauf ni ku buzwa, the chil-dren are always impatiently jos- tling each other when they see that the meal is ready. 
ngungule,	n. mwanja wa ngungule, dried cassava roots. 
-ngungumeza (ngungumelize)	v.t. to drink a lot quickly. cf. -nwa. rel. - ngungumeleza (ngungumelelize) to drink someone else's share. int. -ngungumeleleza (ngungumellize) to drink the lot quickly in order not to leave anything for another. 
-ngunjangeta (ngunjangetile) 	v.t. to mend an old dress; to mend roughly. cf. -bka. rel. -ngunjange-tela (ngunjangetezi) to mend rather carelessly for another person. caus. -ngunjangetisa (ngunjangeti-size) to help to mend roughly int. -ngunjangetelela ( ngunjangetelezi) to complete a rough mending. ref. -ingunjangetela (ingunjangetezi) to make a rough mending for oneself 
-ngunjunga (ngunjungile)	v.t. Luyana. to hum a tune, to whimper. rel. -ngungjungela (ngun-Jungezi) to ~ somewhere: Zwa, u yo ngunjungela koo, go away and hum your tune elsewhere. caus. -ngunjungisa (ngunjungisize) to cause someone to ~. Se si ngun-jungisa mwanana yo ki tala, the ctila IS wnimpering because of hunger. 
-ngunyaela (ngunysezi)	v.i. to walk slowly, without strength. syn. -ndombysela. rel. -ngunyaeleb (ngu-nyaelezi) to walk slowly some- where. caus. -ngunyselisa (ngunyse-lisize) to cause to walk slowly. ref. -ingunyselela (ingunyselezi) to drag oneself along. 
ngunyana (li-)	n. Iamb; Ngunyanaya Mulimu, the Redeemer. 
-ngunyuta (ngunyutile)	v.t. to elbow, to jostle, to knock; to touch lightly or inadvertently. syn. -kuba, -ngungula. ref. -ingunyuta (ingunyu-tile) to knock or graze oneself on something. 
