अचंभे	Aback
धातु	Metallic
धातुमय	Metalline
धातुरूप	Metallization
मेटालोइड	Metalloid
धातु	Metallurgical
धातुशोधन	Metallurgist
धातु	Metallurgy
धातु को	Metalwork
रूपांतरित	Metamorphic
कायापलट	Metamorphosis
रूपक	Metaphor
साहित्यिक	Metaphorical
उपमा	Metaphorically
आध्यात्मिक	Metaphysical
मेटास्टेसिस	Metastasis
बाँट	Mete
उल्का	Meteor
जबरदस्त	Meteoric
उल्का	Meteorite
मौसम विज्ञान	Meteorological
मौसमविद्	Meteorologist
मौसम विज्ञान	Meteorology
मीटर	Meter
मेथाडोन	Methadone
मिथेन	Methane
मेथियोनाइन	Methionine
विधि	Method
मेथोडिस्ट	Methodist
पद्धति	Methodology
मतूशेलह	Methuselah
मिथाइल	Methyl
मेथिलिकरण	Methylation
होसियार	Meticulous
कुशलता	Meticulously
सूक्ष्मता	Meticulousness
धंधा	Metier
मेट्रिक	Metric
मैट्रोलोजी	Metrology
महानगर	Metropolis
महानगरीय	Metropolitan
ज्लटी	Mexica
मेक्सिकन	Mexican
मील	Mi
मियामी	Miami
मेबा	Mib
अभ्रक	Mica
मीका	Micah
चूहों	Mice
माइकल	Michael
माइकलमास	Michaelmas
मिशेल	Michel
मिक	Mick
मिकी	Mickey
माइक्रो	Micro
सूक्ष्मजीवले	Microbe
माइक्रोबियल	Microbial
माइक्रोबाइसाइड	Microbicide
सूक्ष्मजीवविज्ञानी	Microbiological
माइक्रोबायोलजिस्टलाई	Microbiologist
सूक्ष्म जीव शास्त्र	Microbiology
माइक्रोकोकस	Micrococcus
जगत	Microcosm
माइक्रोफिल्म	Microfilm
माइक्रोग्राफ	Micrograph
सुक्ष्ममापी	Micrometer
माइक्रोन	Micron
माइक्रोनेसियाली	Micronesian
सूक्ष्मजीव	Microorganism
शिशुकालमै	Micropenis
माइक्रोफोन	Microphone
सूक्ष्म	Microporous
मिक्रोप्सिया	Micropsia
खुर्दबीन	Microscope
सूक्ष्म	Microscopic
सूक्ष्म	Microscopical
माइक्रोस्कोपी	Microscopy
माइक्रोस्पोरंजियम	Microsporangium
माइक्रोस्ट्रक्चरल	Microstructural
अनुहार	Microtia
माइक्रोवेभ	Microwave
मध्य	Mid
दिउँसो	Midday
दासी	Midden
बीचमा	Middle
बिचौलिया	Middleman
बौना	Midget
मिद्यानीहरूको	Midianite
मिडल्याण्ड	Midland
मध्यरात	Midnight
मध्य श्रेणी	Midrange
बीचमा	Midst
मझधार	Midstream
गृष्म	Midsummer
बीच	Midway
मिडवेस्ट	Midwest
मध्यपश्चिमी	Midwestern
दाई	Midwife
मिडवाइफरी	Midwifery
शायद	Might
सामर्थ्यले	Mightily
शक्तिको	Mightiness
शक्तिशाली	Mighty
छोटा	Mignon
माइग्रेन	Migraine
आप्रवासी	Migrant
पलायन	Migrate
प्रवास	Migration
प्रवासी	Migratory
मील को दूरी	Mijl
माइक	Mike
मिकी	Mikey
मिल	Mil
मिलान	Milan
दुधारू	Milch
नम्र	Mild
मामूली	Milder
पठाएँ	Mildew
हल्का	Mildly
नम्रता	Mildness
मिल्ड्रेड	Mildred
माइल	Mile
लाभ	Mileage
कि.मी.	Miles
कोसेढुङ्गा	Milestone
आतंकवादी	Militant
सैनिक	Militarily
सैन्यवाद	Militarism
सैन्यवादी	Militarist
सैन्यवादी	Militaristic
अदालतले	Militarization
सैन्य	Military
बाघ	Militate
मिलिसिया	Militia
दूध	Milk
दोहक	Milker
मिल्कफिश	Milkfish
दूधवाला	Milkman
सम्राट	Milkweed
दूधे	Milky
मिल	Mill
हजारौँ	Millennia
हजार वर्षे	Millennial
हजार वर्षीय शासनको	Millennialism
सहस्राब्दी	Millennium
कोदो	Millet
मिलिमिटर	Millimeter
मेलिनेरी	Millinery
मिलमा	Milling
लाख	Million
करोडपति	Millionaire
मिलियन	Millioner
लाखौं	Millions
लाखवाँ	Millionth
मिलीसेकेन्ड	Millisecond
तिल्ली	Milt
भएको लाभ	Mim
माइम	Mime
नकल	Mimic
मिनेट	Min
मीना	Mina
मीनार	Minaret
कीमा	Mince
मन	Mind
दिमाग	Minded
काम गर्नेवाला	Minder
सचेत	Mindful
विचारशीलता	Mindfulness
मन	Minding
नासमझ	Mindless
मेरो	Mine
खानीमा	Miner
खनिज	Mineral
खनिज	Mineralization
खनिज	Mineralogical
खदानों	Mines
मिंग	Ming
आपस	Mingle
लघु	Miniature
छोटा	Minibus
कम गरेर दिखाना	Minify
न्यूनतम	Minima
न्यूनतम	Minimal
अतिसूक्ष्मवाद	Minimalism
न्यूनतम	Minimally
न्यूनीकरण	Minimization
कम	Minimize
न्यूनतम	Minimum
खानी	Mining
मन्त्री	Minister
सेवकाई	Ministerial
मंत्रालय	Ministerium
सेवक	Ministrant
सेवा	Ministration
सेवाको	Ministry
मिंक	Mink
सानो माछा	Minnow
लघु	Minor
अल्पसंख्यक	Minority
बेलैमा सक्न	Minster
पुदिना	Mint
ढलाई	Mintage
गढ	Minter
माइनस	Minus
मिनेट	Minute
मिनेटमा	Minutely
सानातिना	Minutiae
ढीठ केटी	Minx
मीरा	Mira
मिराश	Mirach
चमत्कार	Miracle
चमत्कारी	Miraculous
चमत्कारपूर्ण ढङ्गमा	Miraculously
मृगतृष्णामा	Mirage
हिलोमा	Mire
मिरियम	Miriam
दर्पण	Mirror
प्रतिबिम्बित	Mirrored
खुशी	Mirth
मिर्जा	Mirza
दुर्व्यवहार	Misbehave
कुव्यवहार	Misbehavior
भुलाव मा पडना	Misbelieve
गर्भ	Miscarriage
विविध	Miscellaneous
विविध	Miscellany
हानि	Mischief
शरारती	Mischievous
शैतानी	Mischievously
गलत धारणा	Misconception
खराब आचरणमा	Misconduct
अपराध	Misdemeanor
कन्जुस	Miser
दयनीय	Miserable
पूरै	Miserably
दुःख	Misery
आगो लाग्न सक्छ	Misfire
अनुपयुक्त	Misfit
दुर्भाग्यवश	Misfortunately
दुर्भाग्य	Misfortune
गलत	Misguided
दुर्घटना	Mishap
धार्मिक लेखोट मिश्नाह	Mishnah
गलत जानकारी	Misinform
गलत सूचना	Misinformation
अर्थ लगाउने	Misinterpret
गलत अर्थ लगाए	Misjudge
बहकाउन	Mislead
भ्रामक	Misleading
गुमराह	Misleadingly
भ्रममा	Misled
दुखाइ	Mismanage
विनाशले	Mismanagement
बेमेल	Mismatch
नसुहाउँदो	Misnomer
गलत ठाँउ राखन	Misplace
गोलमाल	Misplacement
गलत छपाई	Misprint
दिए तथ्यहरुलाई गलत तरिका	Misquote
गलत ढङ्गले बुझेको कुरालाई	Misread
गलत	Misrepresent
गलत	Misrepresentation
करीना हकी	Misrule
सम्झना	Miss
मिसाइल	Missile
हराइरहेको	Missing
मिशन	Mission
मिसनरी	Missionary
गलतहिज्जेमा	Misspelling
धुंध	Mist
गल्ती	Mistake
गलत	Mistaken
गलत	Mistakenly
दुईवटा	Mistaking
मिस्टर	Mister
अशुद्ध अनुवाद गर्न	Mistranslate
दुर्व्यवहार	Mistreat
दुर्व्यवहार	Mistreatment
मालिक्नीलाई	Mistress
अविश्वास	Mistrust
बदगुमान	Mistrustful
मिस्त्री	Mistry
मिस्टी	Misty
गलत	Misunderstand
असमझदारीको	Misunderstanding
गलत अर्थ	Misunderstood
दुरुपयोग	Misuse
मिच	Mitch
मिशेल	Mitchell
घुन	Mite
कम	Mitigate
शमन	Mitigation
न्यूनीकरण	Mitigative
साथी	Mitra
एक प्रकार को पन्जा	Mitt
मिश्रण	Mix
मिश्रित	Mixed
मिक्सर	Mixer
मिक्सटेक	Mixtec
मिश्रण	Mixture
मिस्पामा	Mizpah
स्मरक	Mnemonic
मो	Mo
मोआबी	Moabite
मोआबी	Moabitess
कराह रही	Moaning
खाई	Moat
भीडले	Mob
मोबाइल	Mobile
गतिशीलता	Mobility
परिचालन	Mobilization
परिचालन	Mobilize
फर्नीचर	Moble
डकैत	Mobster
कहवा	Mocha
देखावटी	Mock
गिज्याउँछ	Mocker
उपहास	Mockery
सर्वसाधारण	Modal
कामको	Modalism
साधन	Modality
ढाँचाः	Mode
मोडेल	Model
मोडेलर	Modeler
मोडेलिंग	Modeling
मोडेलर	Modeller
मध्यम	Moderate
संयम	Moderately
ठिक्क	Moderation
नाथ	Moderator
आधुनिक	Modern
आधुनिकता	Modernism
आधुनिकतावादी	Modernist
आधुनिकता	Modernity
आधुनिकीकरण	Modernization
आधुनिकीकरण	Modernize
मालिश	Modernly
नम्र	Modest
नम्रतापूर्वक	Modestly
नम्रता	Modesty
भोजन को थोडी मात्रा	Modicum
छाँटकाँट	Modifiable
संशोधन	Modification
आपरिवर्तक	Modifier
परिमार्जन	Modify
मड्यूलर	Modular
शोषणनीलोकेन्द्रीकरण	Modulate
मडुलन	Modulation
न्यूनाधिक	Modulator
मोड्युल	Module
मोड्युल	Modulo
मापांक	Modulus
मंगोली	Mogul
चिकना ऊन	Mohair
मोहम्मद	Mohammad
मोहम्मडन	Mohammedan
मौआ	Moire
चिसो	Moist
चिस्यान	Moisture
मोलर	Molar
गुड	Molasses
मोल्ड	Mold
मोल्डाभियाली	Moldavian
टुकडे	Molder
ढलाई	Molding
खोटा	Moldy
तिल	Mole
आणविक	Molecular
अणु	Molecule
रंडी	Moll
मोलस्कन	Molluscan
पर्णपतन	Molt
पग्लिएको	Molten
कविको	Molybdenite
मोलिब्डेनम	Molybdenum
पल	Moment
केही बेर	Momentarily
क्षणिक	Momentary
महत्त्वपूर्ण	Momentous
गति	Momentum
इटली	Momme
आमा	Mommy
सोम	Mon
राजाको	Monarch
राजतन्त्रवादी	Monarchical
राजतन्वादी	Monarchist
राजतन्त्रको	Monarchy
गुम्बामा	Monastery
सोमबार	Monday
मौद्रिक	Monetary
मुद्रीकरण	Monetization
साम्या	Monetize
मुद्रा	Money
येशूका	Moneybag
दौलत	Moneybags
साहूकार	Moneylender
मंगोल	Mongol
मङ्गोलियाली	Mongolian
मोनिका	Monica
मिलास्टोमटेसी	Monimiaceae
मनिटर	Monitor
भिक्षु	Monk
बाँदर	Monkey
बाँदरको	Monkeylike
मोनो	Mono
मोनोक्रोम	Monochrome
एकबीजपत्री	Monocot
विवाही	Monogamous
एकै जनासित मात्र विवाह	Monogamy
सीके	Monogram
मोनोग्राम बनवाना	Monogrammed
मोनोग्राफ	Monograph
पत्थर को खम्बा	Monolith
एकाश्म	Monolithic
रथ	Monologue
एकपद	Monomial
एकाधिकार	Monopolistic
एकाधिकार	Monopolize
एकाधिकार	Monopoly
मोनोसोडियम	Monosodium
यस्तो अर्थहीन	Monotonous
एकरसता	Monotony
मोनोटाइप	Monotype
मोनोटाइप	Monotypic
मोनोओक्साइड	Monoxide
मनसुन	Monsoon
राक्षस	Monster
दैत्यता	Monstrosity
राक्षसी	Monstrous
मोन्टेनिग्रिन	Montenegrin
मोन्टेजुमा	Montezuma
महिना	Month
मासिक	Monthly
मोंटी	Monty
स्मारक	Monument
ठूलाठूला	Monumental
मूड	Mood
राम्राे	Moody
मैले जिस्किदै	Mool
चाँद	Moon
चन्द्रमारहितरात	Moonless
चाँदनी	Moonlight
बंजर भूमि	Moor
मूर	Moore
लंगरगाह	Mooring
दलदल	Moorish
पुछ्नुहोस्	Mop
नैतिक	Moral
मनोबल	Morale
जनताका	Moralistic
नैतिकताको	Morality
नीतिसंगत	Moralize
नैतिक	Morally
नैतिकताको	Morals
दलदल	Morass
विलंबन आदेश	Moratoria
स्थगन	Moratorium
रुग्ण	Morbid
रुग्णता	Morbidity
थप	More
यसबाहेक	Moreover
मोर्गन	Morgan
मुर्दाघर	Morgue
मोरिंडा	Morinda
सुबह	Morn
बिहान	Morning
बिहान	Mornings
संगीत	Moro
मोरक्कन	Moroccan
मोरक्को	Morocco
मूर्ख	Moron
मूर्खता	Moronic
उदास	Morose
आकृति	Morphemics
अफीम	Morphine
आकारिकी	Morphology
मरिस	Morris
भोलि	Morrow
मोर्स	Morse
निवाला	Morsel
रंडी	Mort
नश्वर	Mortal
मृत्यु	Mortality
मृगौलाले	Mortally
मोर्टार	Mortar
बंधक	Mortgage
चूल	Mortise
मोर्टमैन	Mortmain
मोर्टन	Morton
शबगृह	Mortuary
मोशाको	Mosaic
मस्को	Moscow
मोसेल्ले	Moselle
मोशाले	Moses
मुस्लिम	Moslem
मस्जिद	Mosque
मच्छर	Mosquito
काई	Moss
सबै भन्दा	Most
ज्यादातर	Mostly
मोसुल	Mosul
दूरदराज	Mote
मोटेल	Motel
कीरा	Moth
आमा	Mother
मातृत्व	Motherhood
आमाको भूमिका निभाउने	Mothering
मातृभूमिको	Motherland
मदरलेस	Motherless
आमाजस्ती	Motherlike
आमाको	Motherly
आकृति	Motif
गतिशीलता	Motility
प्रस्ताव	Motion
अविचल	Motionless
उत्प्रेरित	Motivate
प्रेरणा	Motivation
प्रेरक	Motivational
मनसाय	Motive
मोटर	Motor
मोटरसाइकल	Motorcycle
मोटरिंग	Motoring
मोटर यात्री	Motorist
मोटरबाटो	Motorway
मटे	Motte
आदर्श वाक्य	Motto
मौफ्लोन	Mouflon
मोल्ड	Mould
आकार	Moulded
ढिस्को	Mound
माउन्ट	Mount
पहाड	Mountain
पर्वतारोहीले	Mountaineer
पहाडरूपी	Mountainlike
हिमाली	Mountainous
पहाडमा	Mountainside
पहाड	Mountaintop
नीमहकीम	Mountebank
माउन्ट	Mounted
माउन्ट	Mounting
शोक	Mourn
शोक मनाने वाला	Mourner
शोकको	Mournful
शोक	Mourning
माउस	Mouse
चूहादान	Mousetrap
मूस	Mousse
मुख	Mouth
मुख	Mouthed
मुख भर	Mouthful
प्रवक्ता	Mouthpiece
आडंबरपूर्ण	Mouthy
चल	Movable
कदम	Move
आन्दोलन	Movement
प्रस्तावक	Mover
चलचित्र	Movie
बढ	Moving
घास	Mow
मवर	Mower
माउन	Mown
मोजाम्बिक	Mozambican
मोजाम्बिक	Mozambique
श्री	Mr
श्रीमती	Mrs
धेरै	Much
लासा	Mucilage
गोबर	Muck
पाजी	Mucker
श्लेष्म	Mucous
कफ	Mucus
हिलो	Mud
अव्यवस्था	Muddle
हिलाम्मे	Muddy
कैसे   हामी तपाईंलाई	Mudra
मफिन	Muffin
धीमा	Muffle
ओढा	Muffled
मफलर	Muffler
मग	Mug
मगर गोही	Mugger
मग्गी	Muggy
स्वतंत्र	Mugwump
हज्ज	Muharram
टाईपराइटर	Mukri
मुक्ति	Mukti
मुलैटो	Mulatto
किम्बुको	Mulberry
गीली	Mulch
खच्चर	Mule
मुल्क	Mulk
सदाले	Mullah
मुलतानी	Multani
अनेक	Multicolor
रंगीबिरंगी	Multicolored
बहुआयामिक	Multidimensional
बहुमुखी	Multifaceted
विविध	Multifarious
मल्टीफोकल	Multifocal
बहुपक्षीय	Multilateral
बहुभाषी	Multilingual
मल्टीमोडेल	Multimodal
बहुराष्ट्रिय	Multinational
धेरै	Multiple
मल्टीप्लेक्स	Multiplex
गुणन	Multiplication
निगम	Multiplicative
बहुलता	Multiplicity
गुणक	Multiplier
गुणा	Multiply
वृद्धि हुँदै	Multiplying
साँच्चै मान्छे उडाउला	Multistoried
भीड	Multitude
मां	Mum
अस्पष्ट बोल्नु	Mumble
बडबडा	Mumbling
आमा	Mummy
मम्प्स	Mumps
मुन्चर	Muncher
मुंडा	Munda
सांसारिक	Mundane
मुंगो	Mungo
म्यूनिख	Munich
नगरपालिका	Municipal
नगरपालिकाले	Municipality
कोठामा बास बसेँ	Munity
मुराटोरियन	Muratorian
हत्या	Murder
हत्यारा	Murderer
हत्या	Murdering
हत्यारा	Murderous
संदिग्ध	Murky
अचम्म	Murmur
गनगन	Murmurer
गनगन गर्दा	Murmuring
मूर्ति	Murthy
मूसा	Musa
मांसपेशी	Muscle
पेशी	Muscular
सरस्वती	Muse
म्युजियोलोजी	Museology
प्रकार को मसक बाजा	Musette
संग्रहालय	Museum
खान गर्नेछन् कमेडी	Mush
च्याउ	Mushroom
संगीत	Music
साङ्गीतिक	Musical
साङ्गीतिक	Musicale
सङ्गीतकार	Musician
म्युजिकोलोजी	Musicology
कल्पनामा	Musing
कस्तूरी	Musk
मस्कट	Muskat
बन्दुक	Musket
मुस्कोजी	Muskogee
मलमल	Muslin
घपला	Muss
सिपी कीरा	Mussel
पर्छ	Must
मूंछें	Mustache
मुस्ताङ	Mustang
तोरी	Mustard
बटुल्न	Muster
बासी	Musty
अस्थायी	Mutable
उत्परिवर्ती	Mutant
उत्परिवर्तित	Mutate
उत्परिवर्तन	Mutation
मौन	Mute
केही वृद्धाहरू	Muth
लेख्न	Mutilate
विकृति	Mutilation
विद्रोह	Mutiny
मौन भाव	Mutism
बुदबुदाना	Mutter
सोच्न	Muttering
खसीको	Mutton
मूर्ख	Muttonhead
आपसी	Mutual
खड्का	Mutuality
परस्पर	Mutually
थूथन	Muzzle
मेरो	My
माइकोबैक्टीरियम	Mycobacterium
माइलिन	Myelin
निकट दृष्टि	Myopia
मोनीमिएसी	Myoporaceae
मायोसिन	Myosin
डायबिटीज	Myositis
असंख्य	Myriad
मूर्र	Myrrh
सिमारूबेसी	Myrsinaceae
मायर्टल	Myrtle
आफैलाई	Myself
मैसूर	Mysore
रहस्यमय	Mysterious
रहस्यमय	Mysteriously
रहस्य	Mystery
रहस्यमय	Mystical
रहस्य	Mysticism
मिस्टिफाय   यारिबन	Mystify
मिथ्या	Myth
पौराणिक	Mythical
पौराणिक	Mythological
पौराणिक	Mythology
एन	N
सलाम	Naam
नामान	Naaman
नाबाल	Nabal
केप	Nach
नदीम	Nadeem
नादिर	Nadir
नाग	Nag
नागा	Naga
नागरी	Nagari
बडबडानेवाली	Nagger
सता	Nagging
नाहोर	Nahor
नहूम	Nahum
बारीकी देखि देखने चाहिए	Naid
दिए	Naik
नङ	Nail
नैलर	Nailer
नाइन	Nain
नायर	Nair
अनुभवहीन	Naive
भोलेपन	Naivete
नाङ्गो	Naked
नग्नता	Nakedness
नकुल	Nakula
भियतनाम	Nam
नामा	Nama
नाम	Name
अर्थात्	Namely
बोल्छ	Namesake
नामकरण	Naming
नेन	Nan
नाना	Nana
नानाइमो	Nanaimo
न्यान्सी	Nancy
नन्दा	Nanda
नन्दी	Nandi
गुरु	Nanga
नानी	Nanny
नाओमी	Naomi
झपकी	Nap
नापलम	Napalm
नेफथलीन	Naphthalene
नैपकिन	Napkin
नेपोलियन	Napoleon
नेपोलियन	Napoleonic
लंगोट	Nappy
नरबहादुर	Nar
एफ नारसिसीलाई	Narcissi
भारतीय महिला	Narcissus
लागूऔषध	Narcotic
सुलाना	Narcotize
नरेन्द्र	Narendra
नरेश	Naresh
एन.ए.आर.आई.सी.	Naric
बयान	Narrate
वर्णन	Narration
वृत्तान्त	Narrative
उपन्यासले	Narrator
साँघुरो	Narrow
साँघुरिएको	Narrower
मुस्किलले	Narrowly
संकुचित	Narrowness
नाउल	Narwhal
नाक	Nasal
नवजात	Nascent
ट्रैप	Nassa
नासाउ	Nassau
गंदगी से	Nastily
फोहर	Nasty
नेट	Nat
नेटल	Natal
नाटचेज	Natchez
नैट	Nate
नाथन	Nathan
नथनएल	Nathanael
राष्ट्र	Nation
राष्ट्रिय	National
राष्ट्रियतालाई	Nationalism
राष्ट्रवादी	Nationalist
राष्ट्रवादी	Nationalistic
राष्ट्रियता	Nationality
राष्ट्रियकरण	Nationalization
राष्ट्रियकरण	Nationalize
राष्ट्रिय	Nationally
भट्टराईप्रति	Nationhood
राष्ट्रव्यापी	Nationwide
देशी	Native
डेमोक्रेट	Nativist
नटराज	Natraj
रात	Natt
गुनगुनाना	Natter
प्राकृतिक	Natural
प्रकृतिवाद	Naturalism
प्रकृतिविद्	Naturalist
मा प्राकृतिक	Naturalistic
समीकरणका	Naturalization
स्वाभाविक	Naturally
स्वाभाविक	Naturalness
प्रकृति	Nature
प्राकृतिक चिकित्सकथ	Naturopath
नेचुरोप्याथी	Naturopathy
जैले	Naught
वाकवाक	Nausea
मिचली आ रही	Nauseous
समुद्री	Nautical
नाविकता को दृष्टि से	Nautically
नटिलस	Nautilus
नावाजो	Navajo
नौसेना	Naval
नाइटो	Navel
भ्रमण	Navigability
नौगम्य	Navigable
नेभिगेट	Navigate
अन्वेषण	Navigation
नैविगेशनल	Navigational
नेभिगेटर	Navigator
नौसेना	Navy
नवाब	Nawab
नायर	Nayar
नासरतका	Nazarean
नासरी	Nazarene
समर्पण	Nazarite
नाजी	Nazi
नाजिरी	Nazirite
नाजीवाद	Nazism
प्राधिकरणले	Nea
नील	Neal
नीप	Neap
नियपोलिटन	Neapolitan
नजिकै	Nearby
निकटतम	Nearest
लगभग	Nearly
निकटता	Nearness
कमबीन	Nearsighted
साफ	Neat
करीने	Neatly
नीहारिकाहरु	Nebulae
छिटकानेवाला	Nebulizer
अस्पष्ट	Nebulous
जरूरी	Necessarily
आवश्यक	Necessary
आवश्यकता	Necessitate
आवश्यकता	Necessity
घाँटी	Neck
गरेबान	Neckband
हठी	Necked
खम्भे को गरदन	Necking
हार	Necklace
नेकटाई	Necktie
नेकटाइयां	Neckwear
परिगलन	Necrosis
अमृत	Nectar
सुधा	Nectarean
आवश्यकता	Need
आवश्यकता	Needing
सुई	Needle
सुई	Needles
अनावश्यक	Needless
अनावश्यक	Needlessly
सीवन	Needlework
आवश्यकता	Needs
खाँचोमा	Needy
नीम	Neem
नापाक	Nefarious
नकारना	Negate
नकार	Negation
नकारात्मक	Negative
नकारात्मक	Negatively
नकारात्मकतालाई	Negativism
नकारात्मकता	Negativity
बेवास्ता	Neglect
बेवास्ता	Neglectful
लापरवाही	Negligence
लापरवाही	Negligent
खोजिएका	Negligently
नगण्य	Negligible
बेचन	Negotiable
बातचीत	Negotiate
वार्ता	Negotiation
वार्ताकार	Negotiator
हब्शी	Negro
नहेम्याह	Nehemiah
छिमेकीलाई	Neighbor
छरछिमेकमा	Neighborhood
छिमेकी	Neighboring
उपकारी	Neighborly
नील	Neil
न	Neither
नेल्सन	Nelson
निमेटोड	Nematode
नव	Neo
नियोक्लासिक	Neoclassic
निओलिथिक	Neolithic
नीयन	Neon
नवजात	Neonatal
फुलाव	Neoplasm
नवप्लेटोवादी	Neoplatonic
नेपाः	Nepa
नेपाल	Nepal
नेपाली	Nepalese
नेपाली	Nepali
सीरेटोफिलेसी	Nepenthaceae
भतिजा	Nephew
जेड	Nephrite
नेफ्रैटिस	Nephritis
मृगौला	Nephrologist
नेफ्रोलजी	Nephrology
सिंड्रोम	Nephropathy
सिंड्रोम	Nephrosis
नातावाद	Nepotism
नेपच्यून	Neptune
नेप्टुनियम	Neptunium
नेरीका	Neri
स्नायु	Nerve
स्नायु	Nervous
अलि	Nervousness
इमान्दारी	Ness
गुँडमा	Nest
नेस्टर	Nester
नेस्ले	Nestle
पोटा	Nestling
नेट	Net
नेदरल्यान्ड्स	Neth
मन्दिरका सेवकहरू	Nethinim
लुटेको	Netted
जाल	Netting
विभीषिका	Nettle
नेटवर्क	Network
तंत्रिका	Neural
तंत्रिकाशूल	Neuralgia
न्यूरेक्टमी	Neurectomy
स्नायविक	Neurological
न्यूरोलजस्ट	Neurologist
न्युरोलजी	Neurology
न्यूरन	Neuron
न्युरोपटी	Neuropathy
न्यूरोसर्जन	Neurosurgeon
न्यूरोसर्जरी	Neurosurgery
नसहरुको	Neurotic
मनोविक्षुब्धता	Neuroticism
न्युरोटक्सिन वर्गमा राखिएको	Neurotoxin
नपुंसकलिंग	Neuter
तटस्थ	Neutral
तटस्थता	Neutrality
बेअसर	Neutralization
बेअसर	Neutralize
क्लीवाणुले	Neutrino
न्युट्रोन	Neutron
कहिल्यै	Never
यद्यपि	Nevertheless
नेभिल	Neville
नेवस	Nevus
नयाँ	New
नेवार	Newar
नवआगन्तुक	Newcomer
फै़शनवाला	Newfangled
न्यूफाउंडल्याण्ड	Newfoundland
नव	Newly
ढाँचाले	Newness
समाचार	News
समाचार	Newscast
समाचार	Newsletter
समाचार पत्र	Newspaper
अखबारी	Newsprint
अखबार	Newsstand
समाचारको विषय बन्छ	Newsworthy
न्यूट	Newt
न्युटनले	Newton
न्यूटोनियन	Newtonian
अर्को	Next
गठजोड	Nexus
नी	Ni
नियासिन	Niacin
नायाग्रा	Niagara
निब	Nib
कुतरना	Nibble
निकारागुवा	Nicaragua
निकारागुवाली	Nicaraguan
नाइस	Nice
राम्रो तरिकाले	Nicely
आला	Niche
निकोलस	Nicholas
निक	Nick
निकल	Nickel
उपनाम	Nickname
निकी	Nicky
निकोबार	Nicobar
निकोदेमस	Nicodemus
निकोलस	Nicolas
निकोटीन	Nicotine
निकोटिनिक	Nicotinic
भतिजी	Niece
गंधा	Nifty
काटएर	Nig
नाइजीरियाई	Nigerian
दरिद्र	Niggardly
निगर	Nigger
नजिक	Nigh
रात	Night
रात परेपछि	Nightfall
लहंगा	Nightgown
बुलबुल	Nightingale
नैटजा	Nightjar
रात	Nightly
दुःस्वप्न	Nightmare
अनसुलझे	Nightmarish
रात	Nights
धतूरा	Nightshade
रात	Nighttime
शून्यवाद	Nihilism
निकोलाई	Nikolai
शून्य	Nil
नील	Nile
तेज	Nimble
निम्रोद	Nimrod
नीना	Nina
नौ	Nine
उन्नाइस	Nineteen
उन्नाइसौं	Nineteenth
नब्बे	Ninety
लाङ्घाली	Ning
मूर्ख	Ninny
नवौं	Ninth
नायोबियम	Niobium
चुटकी	Nip
शिकंजा	Nippers
निपल	Nipple
नीसान	Nisan
रात्रि	Nit
गर्छन	Nito
नाइट्रेट	Nitrate
नाइट्रीकरण	Nitration
नाइट्रिक	Nitric
नाइट्राइड	Nitride
नाइट्राट	Nitrite
नाइट्रो	Nitro
नाइट्रोजन	Nitrogen
नाइट्रोजन	Nitrogenous
नाइट्रोग्लिसरीनमा	Nitroglycerin
नाइट्रस	Nitrous
जुओं देखि भरा	Nitty
नियू	Niue
सिफर	Nix
कुनै	No
नूह	Noah
नोब	Nob
ठूलाबडा	Nobility
महान	Noble
सामन्त	Nobleman
भाग्य	Noblesse
कुनै	Nobody
मांसाहारी	Nocturnal
इशारा	Nod
नोडल	Nodal
कतै बसेन	Nodding
नोड	Node
गांठदार	Nodular
नजिकै	Nog
शोर	Noise
नीरव	Noiseless
हल्ला	Noisy
फिरन्ते	Nomadic
खानाबदोशी	Nomadism
नोम	Nome
हामीसंग एउटा कुकुर	Nomenclature
बसाई	Nomic
नाममात्र	Nominal
नाममात्र	Nominally
मनोनीत	Nominate
मनोनित	Nominated
नामांकन	Nomination
निस्क्रियगर्नुहोस्	Nominative
उम्मेदवार	Nominee
गैर	Non
युद्धमा	Noncombat
कांग्रेस	Noncommercial
गैर अनुपालन	Noncompliance
रजत फीता बेल	Nonconforming
आज्ञाभंग	Nonconformity
कुनै पनि	None
अनावश्यक	Nonessential
फेरि पनि	Nonetheless
अस्तित्वविहीन	Nonexistence
अस्तित्वविहीन	Nonexistent
दर्शािन्छ	Nonfinancial
न जालनेवाला	Nonflammable
गैर सरकारी	Nongovernmental
धर्ममा आस्था नराख्ने	Nonreligious
अनिवासी	Nonresident
बकवास	Nonsense
मूर्खतापूर्ण	Nonsensical
गैरमानक	Nonstandard
ननस्टप	Nonstop
परिवारको पालनपोषण नगरेमा	Nonsupport
अनकहे	Nonverbal
भारतको	Nonviolence
नूडल	Noodle
नुक्कड	Nook
दिउसो	Noon
दिउँसो	Noontime
फांसी	Noose
न त	Nor
नोरा	Nora
नर्डिक	Nordic
तपाईं चाहते	Norite
आदर्श	Norm
नोर्मा	Norma
सामान्य	Normal
सामान्य स्थिति	Normalcy
स्थिति सामान्य	Normality
सामान्यीकरण	Normalization
सामान्यीकरण	Normalize
साधारणतया	Normally
नर्मन	Norman
प्रामाणिक	Normative
नॉर्स	Norse
उत्तर	North
उत्तर तिर	Northbound
पूर्वोत्तर	Northeast
उत्तरपूर्वी	Northeaster
